circRNA	1_DEL13080_R1_17to51__circRNA.txt	2_DEL13080_R1_17to51__circRNA.txt	3_DEL13080_R1_17to51__circRNA.txt	4_DEL13080_R1_17to51__circRNA.txt	5_DEL13080_R1_17to51__circRNA.txt	6_DEL13080_R1_17to51__circRNA.txt	7_DEL13080_R1_17to51__circRNA.txt	8_DEL13080_R1_17to51__circRNA.txt	9_DEL13080_R1_17to51__circRNA.txt	10_DEL13080_R1_17to51__circRNA.txt	11_DEL13080_R1_17to51__circRNA.txt	12_DEL13080_R1_17to51__circRNA.txt	13_DEL13080_R1_17to51__circRNA.txt	14_DEL13080_R1_17to51__circRNA.txt	15_DEL13080_R1_17to51__circRNA.txt	16_DEL13080_R1_17to51__circRNA.txt	17_DEL13080_R1_17to51__circRNA.txt	18_DEL13080_R1_17to51__circRNA.txt	19_DEL13080_R1_17to51__circRNA.txt	20_DEL13080_R1_17to51__circRNA.txt	21_DEL13080_R1_17to51__circRNA.txt	22_DEL13080_R1_17to51__circRNA.txt	23_DEL13080_R1_17to51__circRNA.txt	24_DEL13080_R1_17to51__circRNA.txt	25_DEL13080_R1_17to51__circRNA.txt	26_DEL13080_R1_17to51__circRNA.txt	27_DEL13080_R1_17to51__circRNA.txt	28_DEL13080_R1_17to51__circRNA.txt	29_DEL13080_R1_17to51__circRNA.txt	30_DEL13080_R1_17to51__circRNA.txt	31_DEL13080_R1_17to51__circRNA.txt	32_DEL13080_R1_17to51__circRNA.txt	33_DEL13080_R1_17to51__circRNA.txt	34_DEL13080_R1_17to51__circRNA.txt	35_DEL13080_R1_17to51__circRNA.txt	36_DEL13080_R1_17to51__circRNA.txt	37_DEL13080_R1_17to51__circRNA.txt	38_DEL13080_R1_17to51__circRNA.txt	39_DEL13080_R1_17to51__circRNA.txt	40_DEL13080_R1_17to51__circRNA.txt	
NR_033184	4.0	0.0	1.0	1.0	0.0	1.0	3.0	1.0	2.0	2.0	3.0	1.0	3.0	4.0	1.0	1.0	5.0	1.0	2.0	1.0	1.0	1.0	0.0	4.0	2.0	2.0	3.0	2.0	0.0	1.0	2.0	1.0	3.0	1.0	2.0	1.0	2.0	4.0	3.0	0.0	
NR_033186	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
NM_024068	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	
ENST00000279263.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	
ENST00000409246.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NM_000099	1.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	2.0	2.0	0.0	
NM_012088	0.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	3.0	2.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	8.0	3.0	0.0	
NM_012086	0.0	4.0	2.0	2.0	4.0	1.0	4.0	0.0	2.0	1.0	2.0	0.0	2.0	4.0	2.0	3.0	3.0	2.0	5.0	2.0	1.0	2.0	2.0	4.0	2.0	2.0	4.0	2.0	1.0	3.0	2.0	2.0	3.0	3.0	5.0	5.0	5.0	6.0	4.0	1.0	
ENST00000333926.5	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	
NM_012081	1.0	1.0	1.0	2.0	2.0	1.0	4.0	1.0	2.0	0.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	2.0	2.0	4.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	4.0	1.0	1.0	
TCONS_00004627	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	
NM_012082	1.0	2.0	44.0	2.0	4.0	1.0	6.0	4.0	2.0	3.0	5.0	19.0	4.0	1.0	1.0	2.0	2.0	2.0	7.0	14.0	3.0	1.0	3.0	2.0	2.0	1.0	2.0	2.0	4.0	2.0	1.0	3.0	1.0	2.0	4.0	15.0	4.0	6.0	5.0	21.0	
ENST00000325212.6	579.0	2.0	3.0	706.0	895.0	683.0	1.0	1.0	1.0	1.0	1.0	592.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	4.0	1.0	4.0	1.0	2.0	1.0	1.0	997.0	1178.0	714.0	943.0	1.0	1.0	1.0	5.0	1.0	1.0	786.0	404.0	
ENST00000507386.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NM_012079	2.0	3.0	6.0	2.0	4.0	2.0	4.0	2.0	4.0	0.0	0.0	1.0	2.0	3.0	0.0	3.0	1.0	1.0	4.0	2.0	0.0	2.0	4.0	7.0	1.0	2.0	1.0	2.0	1.0	1.0	0.0	2.0	2.0	2.0	2.0	5.0	6.0	11.0	5.0	4.0	
NM_024076	3.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	0.0	3.0	6.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	7.0	1.0	7.0	3.0	4.0	3.0	0.0	
ENST00000439374.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NM_024078	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	
NM_024077	1.0	1.0	2.0	1.0	1.0	0.0	2.0	1.0	4.0	2.0	3.0	4.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	8.0	1.0	3.0	0.0	2.0	2.0	4.0	1.0	3.0	3.0	7.0	2.0	1.0	2.0	3.0	1.0	1.0	1.0	
ENST00000469525.1	1.0	5.0	3.0	4.0	4.0	5.0	4.0	6.0	3.0	0.0	8.0	5.0	1.0	5.0	10.0	5.0	0.0	5.0	1.0	9.0	9.0	18.0	4.0	4.0	10.0	6.0	3.0	3.0	2.0	4.0	4.0	4.0	11.0	7.0	7.0	6.0	5.0	1.0	4.0	3.0	
