piRNA	1_DEL13080_R1_17to51__piRNA.txt	2_DEL13080_R1_17to51__piRNA.txt	3_DEL13080_R1_17to51__piRNA.txt	4_DEL13080_R1_17to51__piRNA.txt	5_DEL13080_R1_17to51__piRNA.txt	6_DEL13080_R1_17to51__piRNA.txt	7_DEL13080_R1_17to51__piRNA.txt	8_DEL13080_R1_17to51__piRNA.txt	9_DEL13080_R1_17to51__piRNA.txt	10_DEL13080_R1_17to51__piRNA.txt	11_DEL13080_R1_17to51__piRNA.txt	12_DEL13080_R1_17to51__piRNA.txt	13_DEL13080_R1_17to51__piRNA.txt	14_DEL13080_R1_17to51__piRNA.txt	15_DEL13080_R1_17to51__piRNA.txt	16_DEL13080_R1_17to51__piRNA.txt	17_DEL13080_R1_17to51__piRNA.txt	18_DEL13080_R1_17to51__piRNA.txt	19_DEL13080_R1_17to51__piRNA.txt	20_DEL13080_R1_17to51__piRNA.txt	21_DEL13080_R1_17to51__piRNA.txt	22_DEL13080_R1_17to51__piRNA.txt	23_DEL13080_R1_17to51__piRNA.txt	24_DEL13080_R1_17to51__piRNA.txt	25_DEL13080_R1_17to51__piRNA.txt	26_DEL13080_R1_17to51__piRNA.txt	27_DEL13080_R1_17to51__piRNA.txt	28_DEL13080_R1_17to51__piRNA.txt	29_DEL13080_R1_17to51__piRNA.txt	30_DEL13080_R1_17to51__piRNA.txt	31_DEL13080_R1_17to51__piRNA.txt	32_DEL13080_R1_17to51__piRNA.txt	33_DEL13080_R1_17to51__piRNA.txt	34_DEL13080_R1_17to51__piRNA.txt	35_DEL13080_R1_17to51__piRNA.txt	36_DEL13080_R1_17to51__piRNA.txt	37_DEL13080_R1_17to51__piRNA.txt	38_DEL13080_R1_17to51__piRNA.txt	39_DEL13080_R1_17to51__piRNA.txt	40_DEL13080_R1_17to51__piRNA.txt	
piR-hsa-4243	3.0	2.0	0.0	6.0	0.0	4.0	3.0	2.0	0.0	2.0	1.0	2.0	4.0	8.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	2.0	3.0	3.0	0.0	2.0	1.0	2.0	2.0	2.0	3.0	3.0	1.0	3.0	2.0	4.0	3.0	0.0	
piR-hsa-4250	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
piR-hsa-4256	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
piR-hsa-4257	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
piR-hsa-4275	5.0	0.0	0.0	2.0	0.0	3.0	2.0	3.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	1.0	2.0	1.0	0.0	0.0	3.0	0.0	2.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	
piR-hsa-4276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa_piR_020283	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa_piR_020281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	
hsa_piR_020287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa_piR_019287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
