"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-RNR2",563606.31063161,0.116093690114164,0.0176266156145144,6.58627229713729,4.51006362490585e-11,3.67396938138801e-10
"MT-ND4",361355.042966643,0.0393409069817752,0.0181311987479328,2.16979073081202,0.0300227028850912,0.0474958868301019
"MYH7",365835.505510467,0.0023030166276619,0.0133252665215442,0.172830811596781,0.862784417322812,0.890083402208837
"MT-CO1",402662.831956365,0.103590812091633,0.0136449282011894,7.59189132872119,3.15269382211413e-14,4.35619026570125e-13
"ACTC1",172765.146027155,0.0128087624274215,0.0146724207845419,0.872982217148254,0.382672770551066,0.452722992881623
"MYL7",237910.780433996,0.119732722989316,0.0375883576089022,3.18536724150352,0.00144570418937094,0.00302646453254829
"MT-ND5",158957.984402298,-0.0384956207429203,0.0177912847881959,-2.16373472749204,0.0304847141504523,0.0481683598195055
"TPM1",243235.140042268,0.136540925170832,0.0182334359241236,7.48849123878965,6.96698368860126e-14,9.1596170631792e-13
"MT-CYB",162683.512247105,0.0530907713571775,0.0196140215974346,2.70677642998626,0.00679399938731046,0.0124570982720797
"MT-ND1",130654.255577754,0.0551854508636781,0.0216199466419241,2.55252484095709,0.010694528305131,0.0187943850609997
"MT-CO3",164956.106180329,0.133889024987924,0.0210842168113279,6.35020148891608,2.15033093435776e-10,1.57377194421402e-09
"MT-ATP6",120431.02399958,0.100513193083547,0.0262950977130756,3.82250692430648,0.000132101767866858,0.0003334374407818
"COL3A1",79020.5632989733,-0.0490189493256299,0.013941772793917,-3.51597677355763,0.000438139311729221,0.00100584631289782
"COL1A1",94457.311964498,0.00308709024697998,0.0225476011569381,0.136914354014554,0.891098492822267,0.913297174333046
"MT-CO2",114922.383025736,0.0876855195464175,0.024194200134332,3.6242371750075,0.000289815564251712,0.000689362500268253
"EMC10",52687.987193877,-0.149151682674186,0.026411813795945,-5.64715789027278,1.63122007646753e-08,8.57146343162352e-08
"MYL3",100463.586711051,0.135618493510916,0.0259545016358572,5.2252397450604,1.73929601390059e-07,7.53868348730193e-07
"MALAT1",156936.364868694,0.207048097250372,0.0660461288761961,3.13490132992481,0.0017191192392057,0.00353807055668626
"MYBPC3",73087.8675243048,0.00630089934129747,0.0104986173942386,0.600164679280077,0.548396490547132,0.614765947199218
"EEF2",65708.7109126429,-0.012112369148185,0.0101071072152392,-1.1984011735744,0.230760875816776,0.29250494143283
"MT-ND6",92515.0847174692,0.111280909276411,0.0258727316994466,4.30108851933834,1.69961143740798e-05,5.00368676448644e-05
"HSPB7",64975.461826997,0.0251330175676541,0.0108358277799537,2.31943678674464,0.0203713649462738,0.0335543497890002
"MYL9",76318.6552324389,0.144541877291685,0.0258661876541511,5.58806265632608,2.29616803494345e-08,1.17529919590787e-07
"TNNC1",104016.190666277,0.221291388615637,0.0379846234516237,5.82581498793764,5.6834552166726e-09,3.22557105900105e-08
"MT-ND2",60152.3071364671,0.0784533268316924,0.0248408040050736,3.15824426679864,0.0015872250164016,0.00328946268296673
"MYL4",73865.8156594794,0.14635554415131,0.0227920656775194,6.42133741724277,1.35082235610934e-10,1.01780970509338e-09
"SORBS2",48560.7350511348,0.0136623215138953,0.0111991780266268,1.21993966712666,0.222487747104111,0.283561535984737
