"","logFC","pvalue","padj"
"MT-RNR2",0.116093690114164,4.51006362490585e-11,3.67396938138801e-10
"MT-ND4",0.0393409069817752,0.0300227028850912,0.0474958868301019
"MYH7",0.0023030166276619,0.862784417322812,0.890083402208837
"MT-CO1",0.103590812091633,3.15269382211413e-14,4.35619026570125e-13
"ACTC1",0.0128087624274215,0.382672770551066,0.452722992881623
"MYL7",0.119732722989316,0.00144570418937094,0.00302646453254829
"MT-ND5",-0.0384956207429203,0.0304847141504523,0.0481683598195055
"TPM1",0.136540925170832,6.96698368860126e-14,9.1596170631792e-13
"MT-CYB",0.0530907713571775,0.00679399938731046,0.0124570982720797
"MT-ND1",0.0551854508636781,0.010694528305131,0.0187943850609997
"MT-CO3",0.133889024987924,2.15033093435776e-10,1.57377194421402e-09
"MT-ATP6",0.100513193083547,0.000132101767866858,0.0003334374407818
"COL3A1",-0.0490189493256299,0.000438139311729221,0.00100584631289782
"COL1A1",0.00308709024697998,0.891098492822267,0.913297174333046
"MT-CO2",0.0876855195464175,0.000289815564251712,0.000689362500268253
"EMC10",-0.149151682674186,1.63122007646753e-08,8.57146343162352e-08
"MYL3",0.135618493510916,1.73929601390059e-07,7.53868348730193e-07
"MALAT1",0.207048097250372,0.0017191192392057,0.00353807055668626
"MYBPC3",0.00630089934129747,0.548396490547132,0.614765947199218
"EEF2",-0.012112369148185,0.230760875816776,0.29250494143283
"MT-ND6",0.111280909276411,1.69961143740798e-05,5.00368676448644e-05
"HSPB7",0.0251330175676541,0.0203713649462738,0.0335543497890002
"MYL9",0.144541877291685,2.29616803494345e-08,1.17529919590787e-07
"TNNC1",0.221291388615637,5.6834552166726e-09,3.22557105900105e-08
"MT-ND2",0.0784533268316924,0.0015872250164016,0.00328946268296673
"MYL4",0.14635554415131,1.35082235610934e-10,1.01780970509338e-09
"SORBS2",0.0136623215138953,0.222487747104111,0.283561535984737
"FN1",-0.214518280080801,4.17938190945787e-25,2.50034398454814e-23
"MYL2",0.200966081117942,5.1312581296482e-15,8.1413465361158e-14
"MT-ND4L",-0.0870527428216438,9.19930171623822e-05,0.000239189180588475
