"","logFC","pvalue","padj","piValue","rank"
"GPR17",-0.123234138848299,0.00741659411857758,0.0134830248807484,-1.87021266405848,-295
"ZNF770",-0.105578739308238,0.00735891559194253,0.0133874985563,-1.87330056299415,-294
"STARD4-AS1",-0.12038979958657,0.00494353523155507,0.00930748941669459,-2.03116744893431,-293
"SFRP4",-0.102265548769192,0.00251373157425548,0.00500979327497554,-2.30018019456982,-292
"VWCE",-0.102270802916194,0.00169026315249438,0.00348418081789659,-2.45789931457798,-291
"IGSF9B",-0.124754384271034,0.00167031096436667,0.00344577595654383,-2.46271296368424,-290
"TUBGCP3",-0.103844150441316,0.00158420767452217,0.0032837311651491,-2.48363240522842,-289
"CX3CR1",-0.10809688107955,0.00108499716735579,0.00232356864641284,-2.63384449240486,-288
"SLC35E2A",-0.104502480544441,0.000888283843816534,0.00193085280353575,-2.71425083292636,-287
"STX16-NPEPL1",-0.100319854257214,0.00064249308232999,0.00143213036741544,-2.84401744622363,-286
"ADCYAP1R1",-0.196884260224367,0.000418062419530655,0.000963486495055451,-3.01615436836089,-285
"SLC4A1",-0.108294604579295,0.000416716147292102,0.000960723350359484,-3.01740165365242,-284
"LSS",-0.106424154686094,0.00029232766040355,0.000694830936209786,-3.15812085354373,-283
"ZC3HAV1L",-0.121149453529499,0.000282043825285623,0.000671979460974624,-3.1726440009368,-282
"AC102945.2",-0.163648433798017,0.00025987320918039,0.000623829632639544,-3.20493399959141,-281
"APAF1",-0.10401894311834,0.000100268566718393,0.000258746071852252,-3.58712623471702,-280
"GATA2-AS1",-0.101120799417702,9.69951130602173e-05,0.000251043910405111,-3.60025030888248,-279
"SYT9",-0.143949636622522,9.25835905538441e-05,0.000240560901603638,-3.61877495720239,-278
"ATG9A",-0.109358087095492,6.14883345677605e-05,0.000164836764528825,-3.78294591854121,-277
"ABR",-0.129013400775924,5.87197023534613e-05,0.000157901517132751,-3.80161369722909,-276
"SDHAP1",-0.102989146968164,5.35123092448294e-05,0.000144614077325127,-3.83978942898446,-275
"IL10RA",-0.156290007628878,4.93312281446224e-05,0.000134064988010453,-3.87268462631842,-274
"KIAA0355",-0.151475517138629,4.16068156852281e-05,0.000114940921450274,-3.93952532556699,-273
"ANGPT1",-0.132133195831195,3.19949496723471e-05,9.01443364931413e-05,-4.04506155354547,-272
"AP006623.1",-0.115709367770253,3.10598871229475e-05,8.76992959206498e-05,-4.05700389328167,-271
"STAG3L5P",-0.141586805597701,3.06773087600364e-05,8.67317279099057e-05,-4.06182200130642,-270
"TUBB2B",-0.100807952767845,2.80153735745533e-05,7.97765288557477e-05,-4.09812486413536,-269
"ITGA4",-0.117360480543409,2.57301656106154e-05,7.37522681084937e-05,-4.13222461925683,-268
"MRAP2",-0.107808260539449,2.36280773285995e-05,6.81161327408478e-05,-4.16675001686014,-267
"CDK5RAP3",-0.102271609664439,1.94904420002753e-05,5.6917676795251e-05,-4.24475283479284,-266
"TFPI2",-0.111835031520689,1.69072851236716e-05,4.97978348199921e-05,-4.30278953969353,-265
"FAM219B",-0.107099813860153,1.35835280226579e-05,4.09610109760704e-05,-4.38762933289379,-264
"HMG20A",-0.112274962997081,1.3351871224875e-05,4.03370638208988e-05,-4.39429571774424,-263
"ITPR3",-0.135077097221294,1.10395126045587e-05,3.39729408656569e-05,-4.46886685682603,-262
"EDC4",-0.110439573715951,1.0666853528055e-05,3.29427193258093e-05,-4.48224055393832,-261
"AC009533.1",-0.116211288596897,1.05979852188139e-05,3.27532993421257e-05,-4.48474494562923,-260
"GIT2",-0.101710210505783,1.03502366603945e-05,3.20636072505616e-05,-4.49398761982073,-259
"DDX11",-0.107683636102348,1.01169608313569e-05,3.13931485040582e-05,-4.50316512554343,-258
"TTC39A",-0.125203523222779,8.76358228309283e-06,2.75011164908798e-05,-4.56064967431572,-257
"AQP10",-0.122232501321766,8.61712609304547e-06,2.71198258941841e-05,-4.56671310291109,-256
"ARHGAP11A",-0.106033349009306,7.76210654350768e-06,2.45771773586859e-05,-4.60946799646739,-255
"CMTM5",-0.147485542717768,7.63216982845929e-06,2.42186761320599e-05,-4.61584960042728,-254
"INHBA",-0.121684341173547,6.80481433932248e-06,2.1768061960619e-05,-4.66218023505058,-253
"MYO18A",-0.126064020989996,6.17802965953296e-06,1.99193727613421e-05,-4.70072434114208,-252
"GUSBP11",-0.133303652727836,5.93641212839086e-06,1.91877786811583e-05,-4.7169752994883,-251
