ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-let-7a-5p,MIMAT0000062,ACVR1B,91,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,BCAT1,586,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,CCND1,595,PAR-CLIP,23592263|26701625,Unspecified
hsa-let-7a-5p,MIMAT0000062,CTPS1,1503,HITS-CLIP,23313552,Unspecified
hsa-let-7a-5p,MIMAT0000062,ARID3A,1820,PAR-CLIP,23592263,Unspecified
hsa-let-7a-5p,MIMAT0000062,E2F2,1870,Luciferase reporter assay//qRT-PCR//Western blot,20418948,Unspecified
hsa-let-7a-5p,MIMAT0000062,EPHA4,2043,PAR-CLIP,21572407,Unspecified
hsa-let-7a-5p,MIMAT0000062,F2R,2149,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,GATM,2628,PAR-CLIP,26701625,Unspecified
hsa-let-7a-5p,MIMAT0000062,GTF2I,2969,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,HAS2,3037,Luciferase reporter assay,22871741,Unspecified
hsa-let-7a-5p,MIMAT0000062,HMGA1,3159,CLASH//HITS-CLIP//Luciferase reporter assay//PAR-CLIP//qRT-PCR//Western blot,19179606|22139073|23622248|23592263|23313552|25846193,Unspecified
hsa-let-7a-5p,MIMAT0000062,PBX2,5089,PAR-CLIP,26701625,Unspecified
hsa-let-7a-5p,MIMAT0000062,PLAGL2,5326,PAR-CLIP,23592263|26701625,Unspecified
hsa-let-7a-5p,MIMAT0000062,TRAPPC10,7109,PAR-CLIP,26701625,Unspecified
hsa-let-7a-5p,MIMAT0000062,KMT2D,8085,PAR-CLIP,24398324|21572407,Unspecified
hsa-let-7a-5p,MIMAT0000062,HMGA2,8091,CLASH//HITS-CLIP//Immunofluorescence//Immunohistochemistry//Luciferase reporter assay//PAR-CLIP//qRT-PCR//Western blot,17600087|18083101|17322030|18413822|19179606|22139073|23622248|24617339|20371350|21572407|26428358|25884389|26701625,Unspecified
hsa-let-7a-5p,MIMAT0000062,TNFRSF10B,8795,qRT-PCR//Western blot,24120475,Unspecified
hsa-let-7a-5p,MIMAT0000062,SLC5A6,8884,PAR-CLIP,24398324|21572407,Unspecified
hsa-let-7a-5p,MIMAT0000062,MCM3AP,8888,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,ZMYM3,9203,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,TIAF1,9220,PAR-CLIP,26701625,Unspecified
hsa-let-7a-5p,MIMAT0000062,VGLL4,9686,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,ESPL1,9700,PAR-CLIP,23446348|21572407,Unspecified
hsa-let-7a-5p,MIMAT0000062,IGF2BP1,10642,Immunoblot//PAR-CLIP//qRT-PCR//Western blot,21252116|21572407,Unspecified
hsa-let-7a-5p,MIMAT0000062,IGF2BP3,10643,PAR-CLIP,21572407|20371350,Unspecified
hsa-let-7a-5p,MIMAT0000062,GCN1,10985,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,WWP2,11060,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,BAZ2A,11176,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,ATXN2L,11273,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,NID2,22795,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,PLXND1,23129,PAR-CLIP,23592263,Unspecified
hsa-let-7a-5p,MIMAT0000062,RBFOX2,23543,CLASH//PAR-CLIP,23622248|24398324|23446348|22012620|21572407|20371350,Unspecified
hsa-let-7a-5p,MIMAT0000062,UHRF1,29128,CLASH//Luciferase reporter assay//qRT-PCR//Western blot,23622248|26049093,Unspecified
hsa-let-7a-5p,MIMAT0000062,C1RL,51279,PAR-CLIP,23592263,Unspecified
hsa-let-7a-5p,MIMAT0000062,IGDCC4,57722,PAR-CLIP,23446348|21572407|20371350|26701625,Unspecified
hsa-let-7a-5p,MIMAT0000062,ATG9A,79065,PAR-CLIP,23592263|26701625|27292025,Unspecified
hsa-let-7a-5p,MIMAT0000062,COLEC12,81035,PAR-CLIP,21572407,Unspecified
hsa-let-7a-5p,MIMAT0000062,HASPIN,83903,HITS-CLIP//PAR-CLIP,21572407|20371350|23706177,Unspecified
hsa-let-7a-5p,MIMAT0000062,ZC3HAV1L,92092,PAR-CLIP,23592263,Unspecified
hsa-let-7a-5p,MIMAT0000062,MARS2,92935,PAR-CLIP,26701625,Unspecified
hsa-let-7a-5p,MIMAT0000062,LRIG3,121227,PAR-CLIP,21572407|20371350,Unspecified
hsa-let-7a-5p,MIMAT0000062,RAVER1,125950,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,SMCR8,140775,PAR-CLIP,24398324|23446348|21572407|26701625|27292025,Unspecified
hsa-let-7a-5p,MIMAT0000062,ZNF738,148203,HITS-CLIP,23706177,Unspecified
hsa-let-7a-5p,MIMAT0000062,SLC16A9,220963,PAR-CLIP,21572407,Unspecified
hsa-let-7a-5p,MIMAT0000062,FAM13C,220965,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,CEP170B,283638,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,NAT8L,339983,PAR-CLIP,21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,JAG1,182,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,BCAT1,586,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CCND1,595,Annexin V-FITC//immunoblot//Immunoblot//Immunofluorescence//Luciferase reporter assay//Microarray//Northern blot//PAR-CLIP//qRT-PCR//Reporter assay//Western blot,18379589|20133835|23806108|23592263|26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,CCNF,899,CLASH//Microarray,17699775|23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CDC25A,993,Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,19966857|17699775,Unspecified
hsa-let-7b-5p,MIMAT0000063,CTPS1,1503,HITS-CLIP//Proteomics,18668040|23313552,Unspecified
hsa-let-7b-5p,MIMAT0000063,ARID3A,1820,Microarray//PAR-CLIP,17699775|23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,E2F2,1870,Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot,27520092,Unspecified
hsa-let-7b-5p,MIMAT0000063,E2F3,1871,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ENG,2022,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,EP300,2033,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,EPHA4,2043,PAR-CLIP,21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,FANCD2,2177,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,GALNT2,2590,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,GATM,2628,PAR-CLIP,26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,GTF2I,2969,Microarray,17699775,Unspecified
hsa-let-7b-5p,MIMAT0000063,HCFC1,3054,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HELLS,3070,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,HMGA1,3159,CLASH//HITS-CLIP//Luciferase reporter assay//Microarray//PAR-CLIP//Proteomics//pSILAC//qRT-PCR//Western blot,18668040|23622248|23798998|23592263|23313552,Unspecified
hsa-let-7b-5p,MIMAT0000063,MOV10,4343,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,NFATC1,4772,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PBX2,5089,PAR-CLIP,26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,PLAGL2,5326,Microarray//PAR-CLIP,17699775|23592263|26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,PLK1,5347,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,POLR2A,5430,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,SALL2,6297,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,SCD,6319,CLASH//Proteomics,18668040|23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,SKI,6497,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,SMARCC2,6601,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,SPTBN2,6712,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,TIAM1,7074,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,TRAPPC10,7109,PAR-CLIP,26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,TPBG,7162,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,TYMS,7298,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,PXDN,7837,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,KMT2D,8085,PAR-CLIP,24398324|21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,HMGA2,8091,HITS-CLIP//Immunohistochemistry//Luciferase reporter assay//Microarray//PAR-CLIP//qRT-PCR//QRTPCR//Western blot,17437991|23482325|23318420|20371350|21572407|25600877|26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,TNFRSF10B,8795,qRT-PCR//Western blot,24120475,Unspecified
hsa-let-7b-5p,MIMAT0000063,SLC5A6,8884,PAR-CLIP,24398324|21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,WASF1,8936,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,TIAF1,9220,PAR-CLIP,26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,PCYT1B,9468,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,ENTPD4,9583,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ESPL1,9700,PAR-CLIP,23446348|21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,SCRN1,9805,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,RNF40,9810,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,POM121,9883,CLASH//Proteomics//pSILAC,18668040|23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,NCAPD2,9918,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,SEC16A,9919,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,FARP1,10160,Microarray,17699775,Unspecified
hsa-let-7b-5p,MIMAT0000063,LPCAT3,10162,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,SLC25A13,10165,CLASH//Proteomics//pSILAC,18668040|23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,TUBGCP3,10426,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,IGF2BP1,10642,Immunoblot//Immunofluorescence//Luciferase reporter assay//PAR-CLIP//Proteomics//pSILAC//qRT-PCR//Western blot,18668040|21252116|21572407|23824794,Unspecified
hsa-let-7b-5p,MIMAT0000063,IGF2BP3,10643,PAR-CLIP//Proteomics,18668040|21572407|20371350,Unspecified
hsa-let-7b-5p,MIMAT0000063,IGF2BP2,10644,Immunohistochemistry//Luciferase reporter assay//Proteomics//pSILAC//QRTPCR//Western blot,18668040|23482325,Unspecified
hsa-let-7b-5p,MIMAT0000063,RAI1,10743,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,SRCAP,10847,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,GCN1,10985,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,BAZ2A,11176,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ATXN2L,11273,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PPRC1,23082,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PLXND1,23129,PAR-CLIP,23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,USP22,23326,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,RBFOX2,23543,CLASH//PAR-CLIP//Proteomics,18668040|23622248|24398324|23446348|22012620|21572407|20371350,Unspecified
hsa-let-7b-5p,MIMAT0000063,POLR1A,25885,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,BRPF3,27154,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,UHRF1,29128,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,C1RL,51279,PAR-CLIP,23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,CCNJ,54619,Microarray,17699775,Unspecified
hsa-let-7b-5p,MIMAT0000063,TENM3,55714,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,DNAJC11,55735,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,IGDCC4,57722,PAR-CLIP,23446348|21572407|20371350|26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,ATG9A,79065,PAR-CLIP//Proteomics,18668040|23592263|26701625|27292025,Unspecified
hsa-let-7b-5p,MIMAT0000063,COLEC12,81035,PAR-CLIP,21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,GDPD5,81544,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CDCA7,83879,Microarray,17699775,Unspecified
hsa-let-7b-5p,MIMAT0000063,HASPIN,83903,HITS-CLIP//PAR-CLIP,21572407|20371350|23706177,Unspecified
hsa-let-7b-5p,MIMAT0000063,PRRC2B,84726,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ZC3HAV1L,92092,PAR-CLIP,23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,MARS2,92935,PAR-CLIP//pSILAC,18668040|26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,CTHRC1,115908,Luciferase reporter assay//qRT-PCR//Western blot,25510669,Unspecified
hsa-let-7b-5p,MIMAT0000063,LRIG3,121227,PAR-CLIP,21572407|20371350,Unspecified
hsa-let-7b-5p,MIMAT0000063,SMCR8,140775,PAR-CLIP,24398324|23446348|21572407|26701625|27292025,Unspecified
hsa-let-7b-5p,MIMAT0000063,ZNF738,148203,HITS-CLIP,23706177,Unspecified
hsa-let-7b-5p,MIMAT0000063,RDH10,157506,Luciferase reporter assay//Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,TUBB,203068,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,SLC16A9,220963,PAR-CLIP,21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,ANKRD52,283373,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,NAT8L,339983,PAR-CLIP,21572407,Unspecified
hsa-let-7c-5p,MIMAT0000064,ACVR1B,91,CLASH,23622248,Unspecified
hsa-let-7c-5p,MIMAT0000064,CCND1,595,PAR-CLIP,23592263|26701625,Unspecified
hsa-let-7c-5p,MIMAT0000064,CCNF,899,CLASH,23622248,Unspecified
hsa-let-7c-5p,MIMAT0000064,CDC25A,993,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,25909324,Unspecified
hsa-let-7c-5p,MIMAT0000064,CTPS1,1503,HITS-CLIP,23313552,Unspecified
hsa-let-7c-5p,MIMAT0000064,DNMT1,1786,3'LIFE,25074381,Unspecified
hsa-let-7c-5p,MIMAT0000064,ARID3A,1820,3'LIFE//PAR-CLIP,25074381|23592263,Unspecified
hsa-let-7c-5p,MIMAT0000064,EPHA4,2043,PAR-CLIP,21572407,Unspecified
hsa-let-7c-5p,MIMAT0000064,GATM,2628,PAR-CLIP,26701625,Unspecified
hsa-let-7c-5p,MIMAT0000064,HMGA1,3159,HITS-CLIP//PAR-CLIP,23592263|23313552,Unspecified
hsa-let-7c-5p,MIMAT0000064,SMAD6,4091,3'LIFE,25074381,Unspecified
hsa-let-7c-5p,MIMAT0000064,CHST6,4166,CLASH,23622248,Unspecified
hsa-let-7c-5p,MIMAT0000064,NOTCH2,4853,CLASH,23622248,Unspecified
hsa-let-7c-5p,MIMAT0000064,PBX2,5089,Luciferase reporter assay//PAR-CLIP//qRT-PCR//Western blot,22964640|26701625,Unspecified
hsa-let-7c-5p,MIMAT0000064,PLAGL2,5326,PAR-CLIP,23592263|26701625,Unspecified
hsa-let-7c-5p,MIMAT0000064,TRAPPC10,7109,PAR-CLIP,26701625,Unspecified
hsa-let-7c-5p,MIMAT0000064,KMT2D,8085,PAR-CLIP,24398324|21572407,Unspecified
hsa-let-7c-5p,MIMAT0000064,HMGA2,8091,CLASH//HITS-CLIP//Immunocytochemistry//Immunofluorescence//Luciferase reporter assay//Microarray//Northern blot//PAR-CLIP//qRT-PCR//Western blot,17600087|17243163|18403645|21224353|23622248|20371350|21572407|26701625,Unspecified
hsa-let-7c-5p,MIMAT0000064,ITGA10,8515,CLASH,23622248,Unspecified
hsa-let-7c-5p,MIMAT0000064,TNFRSF10B,8795,qRT-PCR//Western blot,24120475,Unspecified
