ID,Accession,Target,TargetID,Experiment,Literature,Tissue
AES,3,LEF1,51176,+,20676368,Not Applicable
AHR,196,CCND1,595,Unknown,24380854,Not Applicable
AIP,9049,GREB1,9687,-,21984905,Not Applicable
APC,324,DNMT1,1786,-,12538344,Not Applicable
AR,367,CDH11,1009,Unknown,20191612,Not Applicable
AR,367,EP300,2033,+,22334658,Not Applicable
AR,367,ERBB3,2065,+,21741601,Not Applicable
AR,367,FN1,2335,Unknown,21055159,Not Applicable
AR,367,GREB1,9687,Unknown,16496412,Not Applicable
ARNT,405,CCNE1,898,-,21544813,Not Applicable
ARNT,405,EGLN2,112398,Unknown,15178343,Not Applicable
ATF1,466,TGFB2,7042,+,11776974,Not Applicable
ATF2,1386,CCND1,595,+,10464245;10915780,Not Applicable
ATF2,1386,FN1,2335,Unknown,10471826,Not Applicable
ATF2,1386,NOS3,4846,-,16497991,Not Applicable
ATF2,1386,PLAT,5327,+,8647095,Not Applicable
ATF2,1386,TGFB2,7042,-,1400310,Not Applicable
ATF3,467,PENK,5179,Unknown,7935470,Not Applicable
ATF4,468,TNFRSF10B,8795,Unknown,21044953,Not Applicable
ATM,472,FOXM1,2305,+,21518729,Not Applicable
ATM,472,TNFRSF10B,8795,-,19351839,Not Applicable
BCL6,604,CHEK1,1111,-,18346918,Not Applicable
BHLHE41,79365,CCND1,595,-,18223678,Not Applicable
BRCA1,672,CCND1,595,Unknown,12032322,Not Applicable
BRCA1,672,CDH3,1001,-,22120723,Not Applicable
BRCA1,672,CDH3,1001,Unknown,19882246,Not Applicable
BRCA1,672,EP300,2033,+,11782371,Not Applicable
BRCA1,672,EP300,2033,Unknown,11405179,Not Applicable
BRCA1,672,FOXC1,2296,-,22120723,Not Applicable
BRCA1,672,HMGA2,8091,-,20007691,Not Applicable
BRCA1,672,MDC1,9656,Unknown,22942284,Not Applicable
BRCA1,672,XPC,7508,Unknown,12647291,Not Applicable
BRD7,29117,E2F3,1871,-,16475162,Not Applicable
BRD7,29117,E2F3,1871,Unknown,15137061,Not Applicable
BTF3,689,EPHB2,2048,+,17312387,Not Applicable
BTF3,689,MRVI1,10335,-,17312387,Not Applicable
BTG2,7832,CCND1,595,-,15870875;16849553,Not Applicable
CBX7,23492,CCNE1,898,-,22214847,Not Applicable
CEBPA,1050,CRMP1,1400,Unknown,18524846,Not Applicable
CEBPA,1050,FN1,2335,Unknown,1320003,Not Applicable
CEBPB,1051,CSRP1,1465,+,14522018,Not Applicable
CEBPB,1051,DAPK1,1612,Unknown,19521987,Not Applicable
CEBPB,1051,SLC19A1,6573,+,15652157,Not Applicable
CHD8,57680,TYMS,7298,Unknown,19255092,Not Applicable
CREB1,1385,NR2F1,7025,-,15955695,Not Applicable
CREB1,1385,PLAT,5327,-,8647095,Not Applicable
CREB1,1385,SLC19A1,6573,Unknown,11078737,Not Applicable
CREB1,1385,SMAD6,4091,+,14755548,Not Applicable
CREB1,1385,TRH,7200,Unknown,11134186;9827656,Not Applicable
CREB1,1385,XPC,7508,Unknown,21507255,Not Applicable
CREBBP,1387,EP300,2033,Unknown,15154850,Not Applicable
CREM,1390,DUSP4,1846,-,21325296,Not Applicable
CREM,1390,PLAT,5327,Unknown,9851700,Not Applicable
CREM,1390,TAF4,6874,Unknown,10409662,Not Applicable
CTCF,10664,ASAP2,8853,Unknown,23999061,Not Applicable
CTCF,10664,CCND1,595,Unknown,18625744,Not Applicable
CTCF,10664,CELSR3,1951,Unknown,25113559,Not Applicable
CTCF,10664,MEG3,55384,Unknown,16331412,Not Applicable
CTCF,10664,SLC6A4,6532,Unknown,15229244;17360901;21309950;23765727,Not Applicable
CTCF,10664,WT1,7490,Unknown,24534946,Not Applicable
CTNNB1,1499,CCND1,595,+,17109766;20300972,Not Applicable
CTNNB1,1499,CCND1,595,-,16628468,Not Applicable
CTNNB1,1499,CCND1,595,Unknown,18679417;19662654;19778454,Not Applicable
CTNNB1,1499,GLI2,2736,Unknown,19797115,Not Applicable
CTNNB1,1499,NRCAM,4897,Unknown,17724465,Not Applicable
CTNNBIP1,56998,GLI2,2736,Unknown,19797115,Not Applicable
CUX1,1523,WNT5A,7474,+,17227781;23359789,Not Applicable
DDIT3,1649,NOS3,4846,-,22265908,Not Applicable
DDIT3,1649,TNFRSF10B,8795,+,15322075;15994939;18593935;18794136;21044953;21726997;21941003,Not Applicable
DDIT3,1649,TNFRSF10B,8795,-,18172319;21941003,Not Applicable
DDIT3,1649,TNFRSF10B,8795,Unknown,20157774;22328338,Not Applicable
DMAP1,55929,DNMT1,1786,Unknown,20864525,Not Applicable
DNMT1,1786,BMP2,650,-,21551187,Not Applicable
