regulator,target
ABL1,BCL2
AHR,BRCA1
APC,AKT1
APEX1,RELA
AR,AKT1
AR,AKT1
AR,CLK3
AR,ETV1
AR,IGF1R
AR,MED1
AR,MID1
AR,RELA
AR,STIM1
AR,TJP1
AR,TSC1
ARID3A,E2F1
ARID3A,PML
ARNT,BRCA1
ARNT,HIF1A
ARNTL,PER2
ARNTL,PER2
ARX,KDM5C
ASH1L,TGFB1
ATF1,BCL2
ATF1,FLT1
ATF2,KAT5
ATF2,RELA
ATF2,ST3GAL5
ATF3,CD82
ATF3,LDLR
ATF4,DISC1
ATF4,SIGMAR1
ATF5,BCL2
ATF5,DISC1
ATF5,EGR1
ATF6,WBP1
ATM,BCL2
ATM,IGF1R
ATM,SP1
ATM,SP1
ATM,TERF1
BACH2,BCL2
BCL3,RELA
BCL6,LITAF
BRCA1,EGR1
BRCA1,FST
BRCA1,HIF1A
BRCA1,IGF1R
BRCA2,PSMD3
CBFA2T3,TCF12
CDX1,POSTN
CDX2,GSPT1
CDX2,HEPH
CDX2,SP1
CEBPA,BCL2
CEBPA,CD163
CEBPB,ADM
CEBPB,ADM
CEBPD,PDGFRA
CHD8,BRCA1
CHD8,CCNE2
CLOCK,KAT5
CLOCK,PER2
CLOCK,PER2
CREB1,BCL2
CREB1,BCL2
CREB1,ETV3
CREB1,FLT1
CREB1,NRF1
CREB1,PPP2R2B
CREB1,PSEN1
CREBBP,BRCA1
CREM,CCNA2
CREM,G6PD
CTBP1,BRCA1
CTCF,ATXN7
CTCF,BRCA1
CTCF,ETNK2
CTCF,RBL2
CTNNB1,FST
CUX1,RACGAP1
DDB2,BCL2
DEK,BCL2
DLX4,BRCA1
DNMT1,EPCAM
DNMT1,MSH2
DNMT3L,TDG
DR1,NR2C2
DUX4,HEY1
E2F1,APAF1
E2F1,APAF1
E2F1,AURKB
E2F1,BCL2
E2F1,BRCA1
E2F1,BRCA1
E2F1,E2F1
E2F1,FLT1
E2F1,RACGAP1
E2F1,RASGEF1B
E2F1,RRM1
E2F1,TP53BP2
E2F1,TP53BP2
E2F1,ULK1
E2F3,CCNA2
E2F4,AURKB
E2F4,BRCA1
E2F4,BRCA1
E2F4,BRCA1
E2F4,LIN54
E2F4,TOPBP1
E2F6,APAF1
E2F6,BRCA1
E2F6,E2F1
E2F7,E2F1
E2F8,E2F1
E4F1,CCNA2
E4F1,CCNA2
EAF1,ELL
EGR1,AKR1B1
EGR1,CDK5R1
EGR1,FLT1
EGR1,HIF1A
EGR1,LDLR
EGR1,LDLR
EGR1,RBL2
EGR1,SLC4A2
EGR1,SLC4A2
EGR1,STIM1
ELF2,VCP
ELK1,FUT4
ELK1,MECOM
ELK1,PSEN1
ELK4,NR2C2
ELL,E2F1
EP300,BRCA1
EP300,BRCA1
EP300,PARP1
EP300,RELA
EPAS1,FLT1
ERCC2,BCL2
ERCC2,E2F1
ERG,ADAMTS1
ERG,EPB41L3
ESR1,BCL2
ESR1,BCL2
ESR1,BRCA1
ESR1,CCNA2
ESR1,CDK4
ESR1,E2F1
ESR1,FLT1
ESR1,NRF1
ESR1,SP1
ETS1,CTSB
ETS1,EGR1
ETS1,EGR1
ETS1,FLT1
ETS1,ITGB3
ETS1,CIP2A
ETS1,MGAT5
ETS1,PARP1
ETS1,PARP1
ETS2,CD163
ETS2,EGR1
ETV3,RELA
EZH2,ADAMTS1
EZH2,AXL
EZH2,BRCA1
FHL2,RELA
FOS,LRIG2
FOSB,TGFB1
FOSL1,ITGB3
FOSL2,BRCA1
FOSL2,TGFB1
FOXA1,ABCA1
FOXA1,BCL2
FOXA1,BRCA1
FOXA2,ABCA1
FOXF2,ITGB1
FOXO1,EGR1
FOXO4,HIF1A
FOXP2,SRPX2
FOXP3,BRCA1
FOXP3,USP21
GATA1,CBFB
GATA1,HEMGN
GATA1,HEMGN
GATA3,RELA
GATA3,STAT4
GLI1,AKT1
GLI1,BCL2
GLI1,BCL2
GLI1,BCL2
GLI1,PDGFRA
GLI2,BCL2
GLI2,FST
GLI2,PDGFRA
GTF3A,ADM
HCFC1,E2F1
HDAC1,CD82
HDAC1,E2F1
HDAC1,EGR1
HDAC1,EPCAM
HDAC1,SP1
HDAC1,TJP1
HDAC2,APAF1
HDAC2,BMP7
HDAC2,SP1
HDAC3,GATA2
HDAC3,LSS
HDAC7,ACTN4
HDAC7,HIF1A
HDAC7,HIF1A
HDAC9,RELA
HES1,E2F1
HIC1,E2F1
HIF1A,APEX1
HIF1A,ENO1
HIF1A,ERCC2
HIF1A,HIF1A
HIF1A,SETD2
HIF1A,SETD2
HIF1A,TGFB3
HIF1A,TGFB3
HIF1A,ZNF217
HIF3A,HIF1A
HIPK2,CTBP2
HIPK2,HIF1A
HIVEP2,HLA-E
HMGA1,BRCA1
HMGA1,SP1
HNF4A,LDLR
HOXA1,BCL2
HOXA10,ITGB3
HOXA5,ARHGEF1
HOXA9,ARHGEF1
HOXA9,RELA
HOXD1,ITGB1
HOXD3,ITGB1
HOXD3,ITGB3
HSF1,FUT4
HSF1,RELA
HSF2,HIF1A
HSF2,MAP2K4
HSF4,HIF1A
ID4,BRCA1
IFI16,BRCA1
ING1,FAT1
ING2,BCL2
ING4,BCL2
IRF1,BCL2
IRF1,CDK4
IRF1,E2F1
IRF1,POLH
IRF9,PML
JUN,BECN1
JUN,BRCA1
JUN,CD82
JUN,CDK5R1
JUN,HEY1
JUNB,CD82
JUND,ITGB3
JUND,TGFB1
KLF10,PTGS1
KLF13,LDLR
KLF4,TAGLN
KLF5,HIF1A
KLF6,IGF1R
KLF7,SLC13A4
LDB1,BMP7
LEF1,EDA
LIMD1,HIF1A
LMO4,BMP7
LMO4,BMP7
LMO4,BRCA1
LMO4,MTA1
MAML1,EGR1
MAML1,HEY1
MBD2,MSH2
MEF2A,MAPK7
MEF2A,NRF1
MEF2C,MAPK7
MEN1,BRCA1
MITF,CTSK
MITF,HIF1A
MKL1,TAGLN
MSC,MCM7
MSX1,HEY1
MSX1,NOTCH3
MSX2,BCL2
MTA1,BRCA1
MYB,BCL2
MYB,BCL2
MYB,BCL2
MYB,MZF1
MYB,PDCD4
MYB,TK1
MYBL2,SP1
MYC,BCL2
MYC,CBFB
MYC,CCNA2
MYC,CDC25C
MYC,CDK4
MYC,CDK4
MYC,HLA-E
MYC,HNRNPA1
MYC,KRAS
MYC,ST3GAL3
MYC,TFAP4
MYC,TOP1MT
MYC,WRN
MYC,XPO1
MYCN,HLA-E
MYCN,MCM7
MYCN,MCM7
MYCN,NES
NAB2,RBL2
NANOG,GATA2
NCOA3,BCL2
NCOA3,BRCA1
NF1,MSH2
NFATC1,SP1
NFATC2,ENPP2
NFE2L2,BRCA1
NFIC,GTF3C1
NFIC,POLE2
NFKB1,ABCA1
NFKB1,AKT1
NFKB1,AKT2
NFKB1,BCL2
NFKB1,BCL2
NFKB1,BCL2
NFKB1,CDK4
NFKB1,COL7A1
NFKB1,CTSB
NFKB1,E2F1
NFKB1,EGR1
NFKB1,EPCAM
NFKB1,HIF1A
NFKB1,NRF1
NFKB1,STAT4
NFKB1,TGFB1
NFKB1,TRAF1
NFKB1,TRAF1
NFKB1,TRPC1
NFKB2,HIF1A
NFKB2,SND1
NFKBIA,RELA
NFKBIA,RELA
NFKBIA,RELA
NFKBIA,TRAF1
NKX2-1,SP1
NKX2-3,EGR1
NKX3-1,IGF1R
NPAS2,PER2
NPM1,ELF4
NR0B2,E2F1
NR1H2,ABCA1
NR1H2,ABCG1
NR1H3,ABCA1
NR1H3,ABCA1
NR1H3,ABCG1
NR1H4,KLF11
NR1H4,PLTP
NR1H4,RELA
NR1I2,BCL2
NR1I2,RELA
NR1I2,RXRA
NR2F2,E2F1
NR2F2,HEY1
NR3C1,BRCA1
NR3C1,CDK4
NR4A1,CCNA2
NR4A1,E2F1
OTX2,CDC25C
PA2G4,E2F1
PA2G4,E2F1
PARP1,BCL2
PARP1,E2F1
PARP1,IFNAR1
PARP1,RELA
PAWR,BCL2
PAX1,PDGFRA
PAX2,ADAM10
PAX5,BCL2
PAX6,ITGB1
PAX8,E2F1
PBX1,VCP
PBX2,VCP
PER1,BCL2
PGR,BCL2
PGR,BCL2
PGR,E2F1
PGR,RELA
PITX2,PLOD1
PML,HIPK2
PML,PML
POLR1A,E2F1
POU2AF1,TK1
POU2F1,TK1
POU2F1,TXNRD1
POU2F2,TK1
POU3F2,CDH13
PPARA,STAT5A
PPARG,BCL2
PPARG,BCL2
PPARG,PDK2
PROX1,AKT2
RAD51,SP1
RB1,BRCA1
RB1,E2F1
RB1,E2F1
RB1,ELF1
RB1,SP1
RB1,TP53BP2
RB1,WRN
RBL1,BRCA1
RBL1,CCNA2
RBL2,BRCA1
RBMX,EGR1
RELA,ABCA1
RELA,AKT1
RELA,AKT2
RELA,BCL2
RELA,BCL2
RELA,BCL2
RELA,CDK4
RELA,COL7A1
RELA,CTSB
RELA,E2F1
RELA,EGR1
RELA,EPCAM
RELA,HIF1A
RELA,NRF1
RELA,STAT4
RELA,TRAF1
RELA,TRAF1
RELA,TRPC1
RORA,E2F1
RUNX1,GP1BA
RUNX1,MECOM
RUNX1,RELA
RUNX3,DNASE1
RXRA,ABCA1
SALL4,ABCA3
SALL4A,ABCA3
SATB1,BCL2
SATB1,BCL2
SATB1,CDK4
SF1,TCERG1
SF1,U2AF2
SIM2,BCL2
SIN3A,E2F1
SIRT1,HIF1A
SIRT1,WRN
SMAD2,BCL2
SMAD3,COL7A1
SMAD3,FST
SMAD3,TGFB1
SMAD4,BCL2
SMAD4,COL7A1
SMAD4,RUNX1T1
SMAD4,SKIL
SMAD4,TGFB1
SMAD7,TGFB1
SMARCA4,MECOM
SOX10,NES
SOX17,NFAT5
SOX6,CCNA2
SOX6,CDK4
SOX9,CDK4
SOX9,CDK4
SOX9,NES
SP1,ABCA1
SP1,ABCA1
SP1,ABCB8
SP1,ADAM10
SP1,APAF1
SP1,APEX1
SP1,APEX1
SP1,BCL2
SP1,BRCA1
SP1,CBFB
SP1,CCNA2
SP1,CD163
SP1,CDK4
SP1,COL7A1
SP1,CTSB
SP1,DHCR24
SP1,E2F1
SP1,EGR1
SP1,EGR1
SP1,ELF4
SP1,FUT4
SP1,GIPR
SP1,GSPT1
SP1,HDAC4
SP1,IGF1R
SP1,ITGB3
SP1,LDLR
SP1,MTA1
SP1,POLE2
SP1,PPP2R2B
SP1,PSEN1
SP1,RELA
SP1,RELA
SP1,SLC13A4
SP1,SLC39A8
SP1,SLC4A2
SP1,SREBF1
SP1,SREBF1
SP1,TCN2
SP1,TERF2
SP1,TGFB1
SP1,TGFB1
SP1,TK1
SP1,WRN
SP3,ABCA1
SP3,ABCA1
SP3,CTSB
SP3,ETF1
SP3,GIPR
SP3,HDAC4
SP3,MSH6
SP3,RELA
SP3,TCN2
SP4,RELA
SPI1,CD163
SPI1,CTSK
SPI1,ZNF300
SREBF1,LDLR
SREBF1,LDLR
SREBF2,ABCA1
SREBF2,LDLR
SRF,HMGXB4
SRF,HMGXB4
SRF,TAGLN
SRY,WDR5
STAT1,CTSB
STAT1,HLA-E
STAT1,IL1R1
STAT1,PLSCR1
STAT1,PML
STAT1,PML
STAT1,SMARCA4
STAT2,PML
STAT3,ABCA1
STAT3,AKT1
STAT3,BCL2
STAT3,BCL2
STAT3,BCL2
STAT3,CDK4
STAT3,HIF1A
STAT3,HIF1A
STAT3,IFNAR1
STAT3,KLF11
STAT3,NR2C2
STAT3,STS
STAT3,TGFB1
STAT5A,SP1
STAT6,IL1R1
TAF1,LRIG2
TAF4,ATF7
TBP,BCL2
TBP,E2F1
TCF4,BCL2
TCF4,FST
TFAP2A,ADM
TFAP2A,BCL2
TFAP2A,CD82
TFAP4,CLCN5
TFAP4,PPP2R2B
TFDP1,RRM1
TFDP3,E2F1
TNFAIP3,RELA
TNFAIP3,RELA
TP53,AKT1
TP53,APAF1
TP53,BCL2
TP53,BCL2
TP53,BRCA1
TP53,BRCA1
TP53,CCNA2
TP53,CD82
TP53,CDK4
TP53,E2F1
TP53,EGR1
TP53,ELF4
TP53,FLT1
TP53,FLT1
TP53,HIPK2
TP53,IGF1R
TP53,IGF1R
TP53,MCM7
TP53,PLAGL1
TP53,PML
TP53,RELA
TP53,SLC6A6
TP53,WRN
TP53,XPO1
TP53BP1,BRCA1
TP53BP1,BRCA1
TP63,BRCA1
TP73,E2F1
TRIM16,E2F1
TRIM22,RELA
TRIM28,ZNF274
TWIST1,AKT2
TWIST1,BCL2
TWIST1,ITGB1
TWIST1,RBL2
TWIST2,ITGB1
TWIST2,POSTN
TWIST2,RBL2
USF1,ABCA1
USF1,APEX1
USF1,CTSB
USF1,RELA
USF1,TCN2
USF1,TGFB1
USF2,ABCA1
USF2,BRCA1
USF2,CTSB
USF2,HIF1A
USF2,TCN2
USF2,TGFB1
USF2,TGFB1
VHL,HIF1A
VHL,HIF1A
VHL,IGF1R
WT1,BCL2
WT1,CX3CL1
WT1,IGF1R
WT1,IGF1R
WT1,STIM1
WT1,U2AF2
YBX1,E2F1
YBX1,RAD9A
YY1,BRCA1
YY1,GDAP1
YY1,HIF1A
YY1,INO80
YY1,LDLR
YY1,LRIG2
YY1,LSS
YY1,PARP1
YY1,PDIA6
YY1,POSTN
ZBTB16,BCL2
ZBTB16,CCNA2
ZBTB16,CCNA2
ZEB1,EPCAM
ZFP36,ELAVL1
ZFP36,HIF1A
ZFP36,HIF1A
ZFP36,LATS2
ZHX2,CCNA2
ZIC1,BCL2L13
ZIC2,SLC13A4
ZNF202,ABCA1
ZNF423,BRCA1
ZNRD1,BCL2
