regulator,target
hsa-let-7a-5p,ACTA1
hsa-let-7a-5p,ACVR1B
hsa-let-7a-5p,BCAT1
hsa-let-7a-5p,E2F2
hsa-let-7a-5p,F2R
hsa-let-7a-5p,GLUL
hsa-let-7a-5p,HMGA1
hsa-let-7a-5p,PBX2
hsa-let-7a-5p,PDGFB
hsa-let-7a-5p,PLAGL2
hsa-let-7a-5p,PSMA2
hsa-let-7a-5p,RPL30
hsa-let-7a-5p,RPL35A
hsa-let-7a-5p,RPS13
hsa-let-7a-5p,RPS15A
hsa-let-7a-5p,RPS24
hsa-let-7a-5p,RRAD
hsa-let-7a-5p,HMGA2
hsa-let-7a-5p,TNFRSF10B
hsa-let-7a-5p,ZMYM3
hsa-let-7a-5p,ATXN2L
hsa-let-7a-5p,NID2
hsa-let-7a-5p,C19orf53
hsa-let-7a-5p,C1RL
hsa-let-7a-5p,MARS2
hsa-let-7b-5p,ACTA1
hsa-let-7b-5p,SLC25A4
hsa-let-7b-5p,BCAT1
hsa-let-7b-5p,CCNF
hsa-let-7b-5p,E2F2
hsa-let-7b-5p,E2F3
hsa-let-7b-5p,ENG
hsa-let-7b-5p,EP300
hsa-let-7b-5p,GALNT2
hsa-let-7b-5p,HMGA1
hsa-let-7b-5p,LPL
hsa-let-7b-5p,NFATC1
hsa-let-7b-5p,PBX2
hsa-let-7b-5p,PDGFB
hsa-let-7b-5p,PLAGL2
hsa-let-7b-5p,POLR2A
hsa-let-7b-5p,RPL18
hsa-let-7b-5p,RPL18A
hsa-let-7b-5p,RPS24
hsa-let-7b-5p,RRAD
hsa-let-7b-5p,SCD
hsa-let-7b-5p,SP100
hsa-let-7b-5p,TST
hsa-let-7b-5p,TYMS
hsa-let-7b-5p,HMGA2
hsa-let-7b-5p,TNFRSF10B
hsa-let-7b-5p,ADGRG1
hsa-let-7b-5p,FARP1
hsa-let-7b-5p,RAI1
hsa-let-7b-5p,ATXN2L
hsa-let-7b-5p,POLR1A
hsa-let-7b-5p,NFU1
hsa-let-7b-5p,C19orf53
hsa-let-7b-5p,C1RL
hsa-let-7b-5p,CCNJ
hsa-let-7b-5p,TENM3
hsa-let-7b-5p,DNAJC11
hsa-let-7b-5p,CYSTM1
hsa-let-7b-5p,PRRC2B
hsa-let-7b-5p,MARS2
hsa-let-7b-5p,RDH10
hsa-let-7b-5p,SLC35F1
hsa-let-7b-5p,ANKRD52
hsa-let-7c-5p,ACTA1
hsa-let-7c-5p,ACVR1B
hsa-let-7c-5p,CCNF
hsa-let-7c-5p,CEBPB
hsa-let-7c-5p,HMGA1
hsa-let-7c-5p,PBX2
hsa-let-7c-5p,PDGFB
hsa-let-7c-5p,PLAGL2
hsa-let-7c-5p,RPL18A
hsa-let-7c-5p,RPS13
hsa-let-7c-5p,RPS24
hsa-let-7c-5p,RRAD
hsa-let-7c-5p,UBA52
hsa-let-7c-5p,HMGA2
hsa-let-7c-5p,TNFRSF10B
hsa-let-7c-5p,C19orf53
hsa-let-7c-5p,C1RL
hsa-let-7c-5p,CACHD1
hsa-let-7c-5p,MAF1
hsa-let-7c-5p,MARS2
hsa-let-7d-5p,ACTA1
hsa-let-7d-5p,HMGA1
hsa-let-7d-5p,PBX2
hsa-let-7d-5p,PDGFB
hsa-let-7d-5p,PLAGL2
hsa-let-7d-5p,RPL31
hsa-let-7d-5p,RRAD
hsa-let-7d-5p,TST
hsa-let-7d-5p,HMGA2
hsa-let-7d-5p,TNFRSF10B
hsa-let-7d-5p,C19orf53
hsa-let-7d-5p,C1RL
hsa-let-7d-5p,MARS2
hsa-let-7e-5p,ACTA1
hsa-let-7e-5p,GLUL
hsa-let-7e-5p,HMGA1
hsa-let-7e-5p,NDST1
hsa-let-7e-5p,MKI67
hsa-let-7e-5p,MYCN
hsa-let-7e-5p,PBX2
hsa-let-7e-5p,PDGFB
hsa-let-7e-5p,PLAGL2
hsa-let-7e-5p,PPP1R10
hsa-let-7e-5p,RRAD
hsa-let-7e-5p,SCD
hsa-let-7e-5p,HMGA2
hsa-let-7e-5p,TNFRSF10B
hsa-let-7e-5p,PPIG
hsa-let-7e-5p,KIAA0355
hsa-let-7e-5p,SERF2
hsa-let-7e-5p,ATXN2L
hsa-let-7e-5p,C19orf53
hsa-let-7e-5p,C1RL
hsa-let-7e-5p,FAM219B
hsa-let-7e-5p,MARS2
hsa-let-7f-5p,ACTA1
hsa-let-7f-5p,GLUL
hsa-let-7f-5p,HMGA1
hsa-let-7f-5p,PBX2
hsa-let-7f-5p,PDGFB
hsa-let-7f-5p,PLAGL2
hsa-let-7f-5p,RRAD
