regulator,target
AES,LEF1
AHR,FOS
AR,ACTA1
AR,CDH11
AR,EP300
AR,KLF5
AR,PEBP1
ARNT,FOS
ARNT,RELB
ARNTL,PER3
ATF1,TGFB2
ATF2,ITGB8
ATF2,TGFB2
ATF3,DDIT3
ATF4,CEBPB
ATF4,DDIT3
ATF4,DDIT3
ATF4,DDIT4
ATF4,TNFRSF10B
ATF6,DDIT3
ATM,TNFRSF10B
BRCA1,DDIT3
BRCA1,EP300
BRCA1,EP300
BRCA1,FOS
BRCA1,FOXC1
BRCA1,HMGA2
BRCA1,JAK2
BRCA1,XPC
BRD7,E2F3
BRD7,E2F3
BTF3,EPHB2
BTF3,MRVI1
BTF3,SSPN
CEBPA,CRMP1
CEBPB,DDIT3
CEBPD,DDIT3
CEBPD,DDIT3
CHD8,TYMS
CIITA,HLA-A
CLOCK,NR3C1
CLOCK,PER3
CNOT7,PMP22
CNOT8,PMP22
CREB1,AQP3
CREB1,FOS
CREB1,TRH
CREB1,UXT
CREB1,XPC
CREBBP,EP300
CREM,FOS
CREM,TAF4
CTCF,H19
CTCF,WT1
CTNNB1,GLI2
CTNNB1,NRCAM
CTNNBIP1,GLI2
DACH1,FOS
DDIT3,TNFRSF10B
DDIT3,TNFRSF10B
DDIT3,TNFRSF10B
DDX5,H19
DNMT1,RELN
DNMT1,RGS10
DNMT1,TNFRSF10B
DNMT3A,CDH6
E2F1,APAF1
E2F1,APAF1
E2F1,DDIT3
E2F1,DHFR
E2F1,FANCA
E2F1,H19
E2F1,HMGA1
E2F1,MYCN
E2F1,MYH10
E2F1,TYMS
E2F1,TYMS
E2F6,APAF1
EGR1,EP300
EGR1,EP300
EGR1,PDGFB
EGR1,TBXA2R
EGR1,TFPI2
ELK1,FOS
ELK1,PDGFB
ELK1,TNFRSF10B
ELK4,FOS
ELK4,FOS
ENO1,MYCN
EP300,WT1
ERG,ENG
ERG,ENG
ERG,WNT11
ESR1,CEBPB
ESR1,FOS
ESR1,HSPB1
ESR1,JAK2
ESR1,TYMS
ESR2,FOS
ETS1,TBXA2R
ETS1,WT1
EZH2,FOXC1
EZH2,PEBP1
FLI1,EP300
FOS,ACTA1
FOS,DDIT3
FOS,FOS
FOXM1,VEGFB
FOXO1,KLF2
FOXO1,PDGFB
FOXO3,VEGFB
FOXP3,ZNF205
FUS,DDIT3
GABPA,ZNF205
GATA1,TBXA2R
GATA1,WT1
GATA1,WT1
GATA2,WT1
GATA3,FOXC1
GATA6,CAV1
GLI1,TNFRSF10B
GLI2,TNFRSF10B
HDAC1,FOS
HDAC1,RECK
HDAC1,RECK
HDAC1,RECK
HDAC1,RELN
HDAC1,RGS10
HDAC2,APAF1
HDAC2,CAD
HDAC2,MYCN
HDAC4,RECK
HDAC4,WT1
HDAC5,WT1
HDAC9,TNFRSF10B
HDGF,VEGFB
HIF1A,E2F3
HIF1A,EGLN3
HIF1A,NR3C1
HIF1A,PFKFB3
HIF1A,RECK
HIF1A,RORA
HIF1A,SDHB
HIF1A,VEGFB
HIF1A,XPC
HIVEP2,HLA-A
HLF,DBP
HMGA1,CRYAB
HMGN1,FOS
HNRNPD,KLF2
HOPX,FOS
HOXA10,IL15
HOXA10,MYCN
HOXA10,WT1
HOXA7,KRT10
HOXA9,MYCN
HOXD3,ITGA5
HSF2,FOS
IFI16,WT1
ING4,ANGPT1
IRF1,HLA-A
IRF9,SP100
JARID2,MYL7
JDP2,DDIT3
JUN,ACTA1
JUN,DDIT3
JUN,ITGB8
JUN,LGALS3
JUN,RELB
KLF4,CD14
KLF5,FASN
KLF5,NOTCH1
KLF6,ASAH1
KLF6,TFPI2
LEF1,NRCAM
LMO2,LEF1
LMO2,NFATC1
MAL,MYL9
MECP2,RELN
MEF2D,CD14
MITF,FOS
MITF,PRKCB
MSX1,DLK1
MXI1,MYCN
MYB,IL15
MYB,NR3C1
MYB,WT1
MYC,CAD
MYC,EP300
MYC,HLA-A
MYC,ST3GAL4
MYC,TNFRSF10B
MYCN,HLA-A
MYCN,HMGA1
NANOG,KLF2
NCOA6,FOS
NCOR1,G0S2
NCOR2,MYCN
NF1,FOS
NFE2,TBXA2R
NFE2L2,SDHB
NFIC,ITGA5
NFIC,TFPI2
NFKB1,B2M
NFKB1,COL2A1
NFKB1,CRMP1
NFKB1,LPL
NFKB1,NFKBIZ
NFKB1,PPIG
NFKB1,TFPI2
NFKB1,TNFRSF10B
NFKB1,TNFRSF10B
NFKB1,WT1
NFYA,DDIT3
NFYB,FOS
NFYC,FOS
NKX3-1,FOS
NOTCH3,APOD
NR1H3,CETP
NR3C1,NR3C1
NR3C1,PPIG
NR5A2,CETP
NRF1,SDHB
NUPR1,EP300
ONECUT2,SYTL4
PAX2,WT1
PAX5,FHL2
PAX5,LEF1
PAX5,MYCN
PAX6,ITGA5
PAX8,WT1
PIAS2,MYCN
PITX2,LEF1
PLAGL1,SDHB
PML,EP300
PPARA,CETP
PPARA,G0S2
PPARA,LPL
PPARD,LPL
PPARG,CAV1
PPARG,DBI
PRDM1,MKI67
RARA,MACROD1
RARA,SCD
RB1,DDIT3
RB1,DHFR
RB1,E2F2
RB1,E2F3
RB1,FOS
