"","regulator","target"
"213","NFKB1","WT1"
"347","SRF","MYL9"
"289","SP1","COL2A1"
"363","TAL1","MYCN"
"282","SOX9","COL2A1"
"138","HIF1A","EGLN3"
"234","PLAGL1","SDHB"
"256","RELA","NFKBIZ"
"393","TP63","XPC"
"68","E2F1","APAF1"
"324","SP3","COL2A1"
"117","GATA1","WT1"
"195","NANOG","KLF2"
"223","NRF1","SDHB"
"4","AR","CDH11"
"130","HDAC2","CAD"
"359","STAT3","VEGFB"
"276","SMURF2","KLF5"
"103","EZH2","PEBP1"
"86","ELK1","TNFRSF10B"
"128","HDAC1","RGS10"
"163","JARID2","MYL7"
"180","MEF2D","CD14"
"102","EZH2","FOXC1"
"143","HIF1A","SDHB"
"293","SP1","F2R"
"146","HIVEP2","HLA-A"
"403","USF2","B2M"
"308","SP1","RORA"
"390","TP53","TNFRSF10B"
"115","GATA1","TBXA2R"
"61","DDIT3","TNFRSF10B"
"350","STAT3","DDIT3"
"170","KLF4","CD14"
"127","HDAC1","RELN"
"206","NFKB1","CRMP1"
"204","NFKB1","B2M"
"426","ZNF350","HMGA2"
"349","STAT1","JAK2"
"43","CNOT7","PMP22"
"414","YBX1","MYCN"
"269","SIRT1","TBX3"
"218","NOTCH3","APOD"
"315","SP1","TNFRSF10B"
"245","RB1","DDIT3"
"260","RELA","WT1"
"90","EP300","WT1"
"194","MYCN","HMGA1"
"87","ELK4","FOS"
"284","SP1","CAV1"
"96","ESR1","HSPB1"
"216","NFYC","FOS"
"428","ZNF382","IKBKE"
"145","HIF1A","XPC"
"56","CTNNB1","NRCAM"
"252","REL","EPHB2"
"229","PAX5","MYCN"
"272","SKI","FHL2"
"182","MITF","PRKCB"
"304","SP1","MYCN"
"13","ATF2","TGFB2"
"388","TP53","MKI67"
"156","HOXA9","MYCN"
"288","SP1","CETP"
"137","HIF1A","E2F3"
"220","NR3C1","NR3C1"
"217","NKX3-1","FOS"
"298","SP1","HMGA2"
"118","GATA2","WT1"
"423","ZBTB16","LEF1"
"411","WT1","VEGFB"
"416","YY1","CETP"
"259","RELA","TNFRSF10B"
"70","E2F1","DHFR"
"327","SP3","FGFR3"
"198","NCOR2","MYCN"
"92","ERG","ENG"
"255","RELA","LPL"
"14","ATF3","DDIT3"
"119","GATA3","FOXC1"
"243","RARA","MACROD1"
"421","YY1","VEGFB"
"373","TFAP2B","CRYAB"
"189","MYC","EP300"
"356","STAT3","JAK2"
"95","ESR1","FOS"
"15","ATF4","CEBPB"
"133","HDAC4","WT1"
"200","NFE2","TBXA2R"
"375","TFCP2","TYMS"
"210","NFKB1","TFPI2"
"405","USF2","TGFB2"
"186","MYB","NR3C1"
"211","NFKB1","TNFRSF10B"
"424","ZBTB7A","FOS"
"150","HNRNPD","KLF2"
"257","RELA","PPIG"
"251","RBMX","FOS"
"400","USF1","B2M"
"158","HSF2","FOS"
"122","GLI2","TNFRSF10B"
"283","SP1","APAF1"
"247","RB1","E2F2"
"131","HDAC2","MYCN"
"18","ATF4","DDIT4"
"134","HDAC5","WT1"
"59","DDIT3","TNFRSF10B"
"91","ERG","ENG"
"366","TEF","DBP"
"214","NFYA","DDIT3"
"329","SP3","LPL"
"100","ETS1","TBXA2R"
"354","STAT3","IKBKE"
"147","HLF","DBP"
"16","ATF4","DDIT3"
"41","CLOCK","NR3C1"
"184","MXI1","MYCN"
"362","STAT6","FOS"
"263","RUNX1","MYH10"
"155","HOXA7","KRT10"
"88","ELK4","FOS"
"167","JUN","ITGB8"
"9","ARNT","RELB"
"383","TP53","CRYAB"
"140","HIF1A","PFKFB3"
"178","MAL","MYL9"
"419","YY1","TNFRSF10B"
"313","SP1","TFPI2"
"264","RUNX1","MYL9"
"166","JUN","DDIT3"
"25","BRCA1","FOS"
"81","EGR1","PDGFB"
"368","TFAP2A","CRYAB"
"391","TP53","TYMS"
"230","PAX6","ITGA5"
"326","SP3","F2R"
"365","TBR1","RELN"
"106","FOS","DDIT3"
"268","SIRT1","NOTCH1"
"113","FUS","DDIT3"
"148","HMGA1","CRYAB"
"397","TWIST1","FOS"
"370","TFAP2A","HIP1"
"40","CIITA","HLA-A"
"57","CTNNBIP1","GLI2"
"235","PML","EP300"
"196","NCOA6","FOS"
"44","CNOT8","PMP22"
"139","HIF1A","NR3C1"
"205","NFKB1","COL2A1"
"75","E2F1","MYH10"
"33","BTF3","MRVI1"
"262","RUNX1","LGALS3"
"50","CREBBP","EP300"
"399","TWIST2","FOS"
"114","GABPA","ZNF205"
"11","ATF1","TGFB2"
"45","CREB1","AQP3"
"409","WT1","MYCN"
"197","NCOR1","G0S2"
"55","CTNNB1","GLI2"
"74","E2F1","MYCN"
"89","ENO1","MYCN"
"222","NR5A2","CETP"
"48","CREB1","UXT"
"208","NFKB1","NFKBIZ"
"364","TBP","FOS"
"169","JUN","RELB"
"250","RB1","FOS"
"207","NFKB1","LPL"
"303","SP1","MYCN"
"94","ESR1","CEBPB"
"82","EGR1","TBXA2R"
"342","SREBF1","SCD"
"307","SP1","RECK"
"320","SP2","CD14"
"174","KLF6","TFPI2"
"343","SRF","ACTA1"
"345","SRF","FOS"
"254","RELA","HLA-A"
"369","TFAP2A","F2R"
"125","HDAC1","RECK"
"330","SP3","LPL"
"335","SP4","FGFR3"
"28","BRCA1","JAK2"
"238","PPARA","LPL"
"110","FOXO1","PDGFB"
"20","ATF6","DDIT3"
"7","AR","PEBP1"
"168","JUN","LGALS3"
"38","CEBPD","DDIT3"
"73","E2F1","HMGA1"
"212","NFKB1","TNFRSF10B"
"378","TFDP1","DHFR"
"26","BRCA1","FOXC1"
"402","USF1","TYMS"
"248","RB1","E2F3"
"410","WT1","TBXA2R"
"85","ELK1","PDGFB"
"286","SP1","CD14"
