,logFC,pvalue,padj
B4GALT3,-0.007864098,0.429758182,0.495569859
SLC26A11,-0.001948355,0.843216314,0.87470572
BEAN1,-0.000651538,0.975155165,0.981041414
STAT3,-0.034318774,2.93E-05,8.40E-05
STEAP3,0.031127821,0.062481892,0.090579722
PIP5K1C,-0.097837427,2.41E-14,3.37E-13
MSH3,-0.012188243,0.353371413,0.419780723
ARSA,-0.011435631,0.468127748,0.531842477
GBP1,0.036562864,0.133403445,0.180128875
MXD4,0.031771892,0.002977011,0.005846448
NFX1,-0.007382805,0.477763749,0.540829856
TRMU,0.001258577,0.913791862,0.932359467
OPTN,0.077083447,1.74E-14,2.49E-13
CSF2RB,-0.016365258,0.444818388,0.509762077
NSD1,-0.065624,4.43E-05,0.000122673
ENAM,0.115091944,8.99E-08,4.11E-07
AC008124.1,0.049654184,2.77E-13,3.21E-12
BAK1,0.009439529,0.336464075,0.402276512
HSPA12B,0.066902947,1.71E-09,1.05E-08
KIF13A,-0.013225381,0.379714786,0.446198339
ICAM1,0.06232315,0.017909551,0.029446812
CSGALNACT1,0.05652234,0.002356818,0.004736371
EFTUD2,-0.054516761,4.40E-11,3.50E-10
CREG1,0.0343908,0.021716924,0.034970893
ANKRD37,0.186255294,4.61E-20,1.51E-18
RPS19,0.121925514,6.51E-06,2.11E-05
AL031727.1,0.192826675,1.59E-08,8.45E-08
GABPB2,-0.024441576,0.032679244,0.050602731
CCDC171,0.015687421,0.383382029,0.449873303
UBB,0.026327795,0.011164965,0.019370168
NDUFAF2,0.134340218,7.69E-09,4.25E-08
SMARCAL1,-0.02377739,0.01273836,0.021797331
ZNF239,-0.083745733,6.03E-10,3.98E-09
SF3B5,0.140369608,1.06E-08,5.74E-08
TMEM80,-0.008950341,0.726766937,0.772379591
ZFAND6,0.041477395,0.000438193,0.001002326
SKP1,0.101580273,6.82E-12,6.27E-11
RNF38,-0.01094704,0.459599838,0.523700819
DUSP26,0.077657357,3.81E-07,1.54E-06
TRAPPC2L,0.109928779,2.10E-06,7.41E-06
TARBP1,-0.054899319,4.50E-06,1.50E-05
ZNF879,0.003774979,0.784974459,0.824033654
ZNF184,0.006696642,0.695311663,0.745562581
TJAP1,-0.009451686,0.65056263,0.703006948
RNF185,-0.001932781,0.778268715,0.818713144
ECHDC3,0.118385531,2.86E-13,3.30E-12
KLHL22,0.045280966,3.32E-06,1.13E-05
ATXN2L,-0.103934099,2.28E-12,2.26E-11
PLCE1,-0.103940487,2.24E-20,7.79E-19
GMFG,0.155636467,6.09E-09,3.42E-08
TTF2,-0.111527115,3.98E-13,4.47E-12
LAMP1,-0.040671346,1.63E-07,7.11E-07
TRIM36,0.023888499,0.312957212,0.378354373
KIF18B,-0.135606641,7.41E-22,3.09E-20
REV3L,0.005293012,0.699238763,0.749069695
LAMTOR3,0.061131973,2.12E-06,7.45E-06
MAEL,0.091300372,1.27E-08,6.84E-08
SCFD1,0.013359318,0.164460238,0.216509003
GPRASP2,0.019932347,0.062227187,0.090262818
SEMA3A,-0.119046479,2.69E-08,1.37E-07
BIRC5,-0.018250397,0.191925707,0.247901973
AP001107.5,0.025347812,0.351054347,0.417586937
SON,0.06467765,3.50E-06,1.19E-05
FAM149A,-0.063941701,0.000853591,0.001858057
E2F8,-0.088304775,3.12E-07,1.28E-06
KCTD12,-0.001949565,0.909939294,0.92926807
AC005070.3,0.083875194,6.03E-05,0.000162717
RPL5,0.082839408,4.92E-08,2.38E-07
SGO2,0.015622519,0.381264036,0.447844199
ASXL1,-0.074333111,1.05E-09,6.69E-09
STAU1,-0.042043023,4.43E-07,1.77E-06
RNF152,0.178943629,5.39E-26,3.41E-24
AC080038.1,-0.085248486,4.16E-10,2.85E-09
CTSL,0.082452751,1.97E-12,1.97E-11
FASN,-0.129091948,2.11E-15,3.62E-14
NAA40,-0.097989994,2.43E-17,5.59E-16
GPX8,-0.055409974,5.85E-10,3.88E-09
CASP17P,0.061676643,0.016596427,0.02755966
CD37,-0.070960625,0.00338112,0.006586543
ACTG1,-0.040517953,0.000141555,0.000356024
CENPBD1P1,0.029622091,0.124565561,0.169338718
ASIC1,-0.078198382,5.61E-09,3.15E-08
LSM7,0.101837855,7.95E-05,0.000210183
KHDRBS1,-0.015937991,0.016037843,0.026747571
C19orf48,-0.02116291,0.278171997,0.341231596
RBBP7,0.017624293,0.001752427,0.003591039
1-Mar,-0.050077029,0.059978726,0.087305278
MCRIP1,0.14934594,5.48E-10,3.66E-09
COL2A1,-0.528347699,6.33E-42,3.17E-39
IRX1,-0.191196572,4.29E-18,1.07E-16
PAXX,0.110904477,3.42E-05,9.68E-05
LSM11,-0.006291661,0.616691246,0.672656246
KCNE5,-0.022356229,0.247339397,0.308795093
DPH2,-0.02985543,0.001426727,0.002988536
DUSP3,0.028230062,0.000805222,0.001759663
NIT2,0.05372088,5.80E-08,2.77E-07
SMG8,-0.043879128,0.032339776,0.050154739
SETX,-0.021981758,0.084499655,0.119417263
CACFD1,0.019493043,0.194755983,0.251168408
KRTCAP2,-0.062011572,8.67E-06,2.76E-05
CD302,-0.021085428,0.381318976,0.447844199
STARD7,0.015908456,0.014897593,0.025046391
JAM3,-0.055979243,5.99E-15,9.24E-14
SMAD7,-0.075085429,9.20E-06,2.91E-05
KPNA4,0.015134042,0.146625605,0.19581411
UVRAG,-0.017753939,0.037508478,0.057194995
MICAL2,-0.088751338,2.55E-09,1.52E-08
NNT-AS1,0.094499945,7.66E-10,4.99E-09
USP38,-0.015851147,0.325306144,0.390898995
SHLD2,-0.016774587,0.218221246,0.27735288
CNNM4,-0.047412995,0.000195355,0.000479046
WARS,0.039233441,0.000204964,0.000500155
IL13RA1,-0.060559635,8.65E-07,3.26E-06
CCNG2,0.040456431,0.029897452,0.046729371
SUPV3L1,0.023887051,0.000822192,0.001793613
NOC2L,-0.00529133,0.561870506,0.620714213
CEP126,-0.072046206,2.23E-05,6.50E-05
HNRNPK,-0.041420762,3.21E-05,9.12E-05
PSMB1,0.076872895,1.56E-08,8.30E-08
TRAPPC9,-0.019709464,0.08784501,0.123795109
AC093673.1,0.062552441,0.01721531,0.028408103
JAK2,0.175864858,2.42E-09,1.44E-08
HTRA2,0.03496238,2.93E-05,8.40E-05
HSP90AB1,-0.058472799,2.43E-14,3.38E-13
PSMG3-AS1,-0.121307227,5.60E-13,6.15E-12
ZNF678,0.012529813,0.320609443,0.385938386
AC009237.14,0.052181905,0.002448816,0.004889809
CSRP2,0.010303768,0.452740531,0.517299509
NUP93,-0.102982918,2.22E-22,9.81E-21
PRTG,-0.026273344,0.17825604,0.232406832
ANGPT1,-0.132034954,2.93E-05,8.41E-05
HMGA2,-0.370043735,3.61E-62,1.81E-58
SIPA1L2,-0.031950144,0.006916017,0.012584107
RWDD2B,-0.002689058,0.898708852,0.919113164
THADA,0.007451289,0.296853079,0.361486944
COPS7B,-0.034283554,0.000514912,0.001162329
COQ7,0.002837384,0.721508993,0.76952751
H2AFJ,0.062993117,0.001997617,0.004061848
CES2,-0.03314631,0.012250385,0.02104154
ADAMTS7P3,-0.034662627,0.301801905,0.366977024
FARP1,-0.120347319,3.17E-10,2.23E-09
EXOC3L1,0.109746853,7.46E-07,2.84E-06
WDR62,-0.063318899,9.88E-05,0.000256782
HAND2-AS1,0.114454167,1.26E-20,4.63E-19
TMEM184C,-0.052092588,5.53E-06,1.82E-05
ATP5MD,0.188659158,2.88E-15,4.78E-14
GSPT1,-0.014979188,0.01661659,0.02758398
UBE2W,0.052659503,7.89E-05,0.000208834
CARD8-AS1,0.070789839,0.000571159,0.001276116
PLXNC1,0.100706413,1.67E-11,1.44E-10
SUDS3,-0.003293405,0.673898087,0.724933399
NSUN3,-0.023320579,0.004803636,0.00904299
GUCA1B,0.089060391,0.000725733,0.001597826
RNF139,0.043221503,0.00164322,0.003391834
ZBTB41,0.084084344,8.22E-06,2.63E-05
PIF1,-0.087950544,2.68E-06,9.27E-06
GPX3,0.247481884,6.83E-29,6.00E-27
CPNE4,0.13736581,1.75E-05,5.22E-05
ZNF276,-0.075840749,9.84E-08,4.46E-07
PRMT9,0.017869346,0.100261996,0.139640663
TIMELESS,-0.126301921,3.15E-17,7.18E-16
SPRY2,0.016496374,0.199903693,0.256484081
CCDC84,-0.00968073,0.464420959,0.528351489
MAN1A2,0.079783769,0.001015599,0.002185024
GTF3C5,0.017510584,0.208697748,0.266740476
MAP3K1,0.062543524,0.000125562,0.000319171
GADD45B,0.08821912,0.000116738,0.000298868
DDX52,-0.055831778,1.90E-06,6.74E-06
HUWE1,-0.093850933,1.87E-09,1.13E-08
MAD2L1BP,0.068924117,3.05E-07,1.26E-06
SLTM,0.036633333,0.053719978,0.079093018
ZNF236,-0.025021059,0.043358652,0.065142206
MRPL39,0.066982093,8.71E-08,4.00E-07
PQLC3,0.077001804,3.45E-09,2.01E-08
RUVBL2,0.073410475,9.32E-06,2.95E-05
LRP5L,-0.051886529,0.006016999,0.011121995
NONO,-0.084538349,9.65E-32,1.23E-29
CSNK1E,0.034660387,0.059902567,0.087219812
RPL35A,0.166861258,2.07E-11,1.73E-10
PTPN13,-0.03704364,0.051356798,0.075881794
NSUN4,-0.034850125,0.000544193,0.001221861
HIGD2A,0.145877852,1.30E-07,5.79E-07
ATP13A2,-0.067414182,1.54E-06,5.56E-06
C7,-0.007779884,0.710927938,0.759321796
HGH1,0.017959646,0.138758983,0.186403793
SEMA6D,-0.037282358,0.017347733,0.028598307
SPECC1,-0.100314007,3.05E-15,5.03E-14
NDUFA4L2,0.116668676,5.38E-05,0.000146068
PRDX1,0.0354739,0.001331119,0.002804718
RAC2,-0.079661826,0.001538244,0.003195356
RPLP1,0.167109292,4.67E-07,1.86E-06
CHIC2,0.071597586,1.93E-11,1.63E-10
TMEM63A,-0.058576472,0.000816101,0.001782658
PICK1,0.050063811,0.003534205,0.006851891
SLFN5,-0.02029238,0.159710322,0.210810879
TCERG1,-0.026590573,0.003711222,0.007156232
ANKRD10,0.048615959,8.36E-08,3.84E-07
AKR7A2,0.06346097,0.000143419,0.000360168
PPM1A,0.059155575,1.21E-05,3.73E-05
NKRF,-0.000154893,0.989311942,0.991692003
DENR,-0.006993952,0.333031479,0.399126893
HIC2,-0.124162684,3.26E-21,1.27E-19
MTCH1,0.020010838,0.055442723,0.081365899
SLC35E3,-0.002450791,0.873819968,0.899176752
ZFYVE19,0.062210647,6.08E-06,1.99E-05
SOBP,0.003250213,0.797406597,0.835155631
CAB39L,-0.073813114,1.83E-06,6.52E-06
C2orf49,0.003358899,0.748360173,0.792250871
PPP2R5C,0.069661324,1.48E-11,1.28E-10
FAAH,0.088041728,1.05E-06,3.90E-06
ZBTB43,-0.010763921,0.267933378,0.330700294
DVL2,-0.024456259,0.000584506,0.001304701
POLR1B,-0.072684996,2.48E-07,1.03E-06
PIKFYVE,-0.015046798,0.394351397,0.460260735
RAB10,-0.001143358,0.938182108,0.951503152
ATP13A3,-0.016038569,0.419920562,0.48568189
GPD1L,0.123148892,1.80E-10,1.31E-09
AC092881.1,0.024727302,0.025666729,0.040599065
GARNL3,-0.018381413,0.314881031,0.380474905
