"","logFC","pvalue","padj","piValue","rank"
"SLC35F1",0.316668471179817,7.37218577433672e-61,1.37354352669856e-57,56.8621575735165,1
"MARCH11",0.276472114558087,1.03580965686685e-60,1.68862869310718e-57,56.7724658354867,2
"CA14",0.183630532404798,1.08891641499499e-55,1.29105889857861e-52,51.8890539446087,3
"MAPKAPK3",0.158783364216659,2.58562959361397e-53,2.81014842999278e-50,49.551270740371,4
"JAM2",0.195286368389286,1.84778149196022e-51,1.72134044415323e-48,47.7641332270605,5
"CAV3",0.402836790288982,2.34035204729265e-50,2.03485809338605e-47,46.6914658721431,6
"ACAT1",0.182589661400694,4.81953051543947e-50,3.9285198113976e-47,46.4057710523806,7
"FHL2",0.265284875963319,7.79010643860689e-49,5.64436489846173e-46,45.2483849176204,8
"HTRA3",0.36723571553716,4.86101440839785e-48,3.33670262706973e-45,44.4766824967247,9
"MB",0.444548710993209,1.3315653429825e-46,7.55055443616425e-44,43.1220211570164,10
"GPNMB",0.581148402449514,4.56784460820464e-45,2.20643812519278e-42,41.6563082468998,11
"CKMT2",0.254337000443844,3.16105486262581e-44,1.4216026730471e-41,40.8472217685958,12
"CNOT11",0.134675108019496,2.23913518739854e-43,8.84933367092477e-41,40.0530894291818,13
"FBXW7",0.240719930154202,2.65485626267914e-43,1.01837162876063e-40,39.9920937083767,14
"PPP1R3G",0.185183337386248,7.83023666514699e-42,2.55304866467118e-39,38.5929409068578,15
"GSN",0.137489945663301,8.61798968411968e-42,2.74136149903144e-39,38.5620336909535,16
"LDHD",0.255637432628944,2.48144054159649e-41,7.70546370083367e-39,38.1132012211047,17
"G0S2",0.266035230429923,2.83581813677349e-41,8.60110235809299e-39,38.0654458839476,18
"MYZAP",0.196677828477079,3.63810002335114e-41,1.07836592055785e-38,37.9672338455376,19
"HHATL",0.320940696178076,6.62675694630135e-40,1.80054508528463e-37,36.7445959995106,20
"CD36",0.269852720077981,2.07033859864684e-39,5.29438353010825e-37,36.2761846011955,21
