ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-let-7a-5p,MIMAT0000062,ACTA1,58,PAR-CLIP,21572407,Unspecified
hsa-let-7a-5p,MIMAT0000062,AHR,196,PAR-CLIP,23592263,Unspecified
hsa-let-7a-5p,MIMAT0000062,CD59,966,PAR-CLIP,23446348|20371350,Unspecified
hsa-let-7a-5p,MIMAT0000062,COX6B1,1340,HITS-CLIP,23706177,Unspecified
hsa-let-7a-5p,MIMAT0000062,DUSP1,1843,PAR-CLIP,21572407,Unspecified
hsa-let-7a-5p,MIMAT0000062,GLUL,2752,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,GOLGA4,2803,PAR-CLIP,20371350,Unspecified
hsa-let-7a-5p,MIMAT0000062,IGF2,3481,Luciferase reporter assay,17974952,Unspecified
hsa-let-7a-5p,MIMAT0000062,NUCB2,4925,PAR-CLIP,23592263,Unspecified
hsa-let-7a-5p,MIMAT0000062,PDGFB,5155,PAR-CLIP,27292025,Unspecified
hsa-let-7a-5p,MIMAT0000062,PSMA2,5683,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,RPL30,6156,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,RPL35A,6165,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,MRPL12,6182,PAR-CLIP,23592263,Unspecified
hsa-let-7a-5p,MIMAT0000062,RPS10,6204,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,RPS13,6207,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,RPS15A,6210,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,RPS24,6229,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,RRAD,6236,PAR-CLIP,22012620,Unspecified
hsa-let-7a-5p,MIMAT0000062,SNRPC,6631,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,ATP6V1F,9296,PAR-CLIP,23592263|24398324|26701625|27292025,Unspecified
hsa-let-7a-5p,MIMAT0000062,NDUFAF3,25915,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,C19orf53,28974,PAR-CLIP,23592263|26701625,Unspecified
hsa-let-7a-5p,MIMAT0000062,RWDD1,51389,HITS-CLIP,23824327,Unspecified
hsa-let-7a-5p,MIMAT0000062,DYNC2H1,79659,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,COX14,84987,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,GADD45GIP1,90480,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,FAM43A,131583,PAR-CLIP,23592263|20371350,Unspecified
hsa-let-7a-5p,MIMAT0000062,KIAA2026,158358,CLASH,23622248,Unspecified
hsa-let-7a-5p,MIMAT0000062,JAZF1,221895,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ACTA1,58,PAR-CLIP,21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,ADCY1,107,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,AHR,196,PAR-CLIP,23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,SLC25A4,291,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ASNA1,439,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ATOX1,475,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CD59,966,PAR-CLIP,23446348|20371350,Unspecified
