ID,Accession,Target,TargetID,Experiment,Literature,Tissue
AHR,196,FOS,2353,Unknown,10478842,Not Applicable
AHR,196,MT2A,4502,Unknown,23994556,Not Applicable
AIP,9049,AHR,196,+,11469723,Not Applicable
AR,367,ACTA1,58,+,15623502,Not Applicable
AR,367,BSG,682,Unknown,14633669,Not Applicable
AR,367,KLF5,688,Unknown,19460858,Not Applicable
AR,367,PEBP1,5037,Unknown,23095933,Not Applicable
AR,367,UCN,7349,-,23801677,Not Applicable
ARNT,405,AHR,196,Unknown,18540824,Not Applicable
ARNT,405,BHLHE40,8553,Unknown,12354771,Not Applicable
ARNT,405,CTSD,1509,Unknown,9611253,Not Applicable
ARNT,405,FOS,2353,-,21544813,Not Applicable
ARNT,405,RELB,5971,Unknown,17900530,Not Applicable
ARNTL,406,BHLHE40,8553,+,19032342,Not Applicable
ARNTL,406,PER3,8863,+,22750052,Not Applicable
ASCL1,429,IGF2,3481,-,20842449,Not Applicable
ATF1,466,CCNA1,8900,-,12044952,Not Applicable
ATF2,1386,DUSP1,1843,Unknown,17681939,Not Applicable
ATF2,1386,ITGB8,3696,Unknown,21878622,Not Applicable
ATF3,467,DDIT3,1649,+,22753726,Not Applicable
ATF3,467,ID1,3397,-,20565867,Not Applicable
ATF4,468,CEBPB,1051,+,16026328,Not Applicable
ATF4,468,DDIT3,1649,+,16246168;17276738;20020050;21044953;21966512,Not Applicable
ATF4,468,DDIT3,1649,Unknown,17455323;22691366,Not Applicable
ATF4,468,DDIT4,54541,+,19059405;19439225,Not Applicable
ATF4,468,NUPR1,26471,+,19946894,Not Applicable
ATF5,22809,ID1,3397,-,18701499,Not Applicable
ATF6,22926,DDIT3,1649,Unknown,17455323,Not Applicable
ATM,472,DUSP1,1843,+,17178844,Not Applicable
ATOH1,474,HES6,55502,+,17826772,Not Applicable
ATRX,546,HBA1,3039,-,7697714,Not Applicable
BRCA1,672,CTSD,1509,-,11244506,Not Applicable
BRCA1,672,DDIT3,1649,+,21700680,Not Applicable
BRCA1,672,FOS,2353,Unknown,11313879,Not Applicable
BRCA1,672,JAK2,3717,Unknown,11163768,Not Applicable
BTF3,689,MADCAM1,8174,-,17312387,Not Applicable
BTF3,689,SSPN,8082,-,17312387,Not Applicable
CEBPA,1050,ID1,3397,Unknown,22568493,Not Applicable
CEBPA,1050,IGF2,3481,Unknown,7659086,Not Applicable
CEBPB,1051,DDIT3,1649,Unknown,16757577,Not Applicable
CEBPB,1051,GADD45G,10912,Unknown,11012671,Not Applicable
CEBPB,1051,HBB,3043,Unknown,15833715,Not Applicable
CEBPD,1052,DDIT3,1649,+,20971808,Not Applicable
CEBPD,1052,DDIT3,1649,-,22347430,Not Applicable
CEBPD,1052,GADD45G,10912,Unknown,11012671,Not Applicable
CEBPD,1052,SOD1,6647,+,20385105,Not Applicable
CEBPG,1054,HBB,3043,Unknown,15833715,Not Applicable
CIITA,4261,HLA-A,3105,+,10329350,Not Applicable
CIITA,4261,HLA-B,3106,+,11053628,Not Applicable
CIITA,4261,IRF1,3659,Unknown,12052885;15950283,Not Applicable
CIITA,4261,S100A4,6275,-,17143014,Not Applicable
CLOCK,9575,BHLHE40,8553,+,19032342,Not Applicable
CLOCK,9575,NR3C1,2908,-,21164265,Not Applicable
CLOCK,9575,PER3,8863,+,22750052,Not Applicable
CNOT7,29883,PMP22,5376,Unknown,15937477,Not Applicable
CNOT8,9337,PMP22,5376,Unknown,15937477,Not Applicable
CREB1,1385,AQP3,360,Unknown,18495115,Not Applicable
CREB1,1385,FOS,2353,Unknown,12432566,Not Applicable
CREB1,1385,NR4A3,8013,Unknown,10701778,Not Applicable
CREB1,1385,PTGES,9536,Unknown,20688046,Not Applicable
CREB1,1385,UXT,8409,+,17761951,Not Applicable
