ID,Accession,Target,TargetID,Experiment,Literature,Tissue
ABL1,25,FOXO3,2309,+,15509806,Not Applicable
AES,3,RND3,390,+,23546594,Not Applicable
AHR,196,ABCG2,9429,Unknown,20460431,Not Applicable
AHR,196,CCNG2,901,+,22596188,Not Applicable
AHR,196,FOS,2353,Unknown,10478842,Not Applicable
AIP,9049,RSF1,51773,-,21984905,Not Applicable
ANKRD1,27063,NPPA,4878,-,18273862,Not Applicable
APC,324,AMHR2,269,-,12724325,Not Applicable
APC,324,KLF4,9314,Unknown,12387883,Not Applicable
APC,324,NOS2,4843,+,11935128,Not Applicable
APEX1,328,NFKB1,4790,+,17045925,Not Applicable
AR,367,ARG2,384,+,20711410,Not Applicable
AR,367,NDRG1,10397,Unknown,17075604,Not Applicable
AR,367,NFKB1,4790,-,18386814,Not Applicable
AR,367,REST,5978,-,24163104,Not Applicable
AR,367,SRD5A3,79644,Unknown,22194926,Not Applicable
AR,367,XIAP,331,-,20589722,Not Applicable
ARNT,405,FOS,2353,-,21544813,Not Applicable
ARNTL,406,CRY2,1408,+,22750052,Not Applicable
ARNTL,406,CRY2,1408,Unknown,17660446,Not Applicable
ATF1,466,TOP2A,7153,Unknown,12104051,Not Applicable
ATF2,1386,DUSP10,11221,Unknown,17681939,Not Applicable
ATF2,1386,MAP3K1,4214,Unknown,9710625,Not Applicable
ATF2,1386,PCK2,5106,Unknown,11042264,Not Applicable
ATF4,468,APOE,348,+,22028770,Not Applicable
ATF4,468,ATG5,9474,+,20038797,Not Applicable
ATF4,468,NUPR1,26471,+,19946894,Not Applicable
ATF4,468,TRIB3,57761,+,15775988,Not Applicable
ATF4,468,TRIB3,57761,Unknown,20592469;21220698,Not Applicable
ATF6,22926,DNAJC3,5611,+,12601012,Not Applicable
ATF6,22926,STARD4,134429,+,16579971,Not Applicable
ATF6,22926,XBP1,7494,Unknown,20003459;24269637,Not Applicable
BACH2,60468,XBP1,7494,-,24821775,Not Applicable
BCL3,602,NFKB1,4790,-,11387332,Not Applicable
BCL3,602,NFKB1,4790,Unknown,14573596;7896265,Not Applicable
BCL6,604,BCL2L1,598,-,11777915,Not Applicable
BCL6,604,NFKB1,4790,-,15611242,Not Applicable
BCL6,604,PDCD2,5134,-,20605493,Not Applicable
BCL6,604,PDCD2,5134,Unknown,11854457;17468402,Not Applicable
BCL6,604,XBP1,7494,-,24821775,Not Applicable
BRCA1,672,FOS,2353,Unknown,11313879,Not Applicable
BRCA1,672,MDM2,4193,+,11256609,Not Applicable
BRIP1,83990,BARD1,580,Unknown,20451671,Not Applicable
BTF3,689,NFKB1,4790,-,17312387,Not Applicable
BTG2,7832,HRAS,3265,-,20197462,Not Applicable
CDC5L,988,PLRG1,5356,Unknown,11544257,Not Applicable
CDX1,1044,IRF2BP2,359948,Unknown,23185413,Not Applicable
CDX2,1045,GSTP1,2950,Unknown,22580340,Not Applicable
CDX2,1045,KLF4,9314,+,11521200,Not Applicable
CDX2,1045,KLF4,9314,Unknown,23202735,Not Applicable
CEBPA,1050,ICAM1,3383,Unknown,9916895,Not Applicable
CEBPA,1050,PCK2,5106,Unknown,11042264,Not Applicable
CEBPA,1050,SPI1,6688,Unknown,24429361,Not Applicable
CEBPB,1051,BCL2L1,598,Unknown,19043455,Not Applicable
CEBPB,1051,GADD45G,10912,Unknown,11012671,Not Applicable
CEBPB,1051,GFER,2671,-,20690902,Not Applicable
CEBPB,1051,GFER,2671,Unknown,20382118,Not Applicable
CEBPB,1051,PCK2,5106,+,8093246,Not Applicable
CEBPB,1051,PRDM1,639,+,19717648,Not Applicable
CEBPB,1051,XBP1,7494,+,19717648,Not Applicable
CEBPD,1052,GADD45G,10912,Unknown,11012671,Not Applicable
CEBPE,1053,SPI1,6688,-,12202480,Not Applicable
CIITA,4261,HLA-A,3105,+,10329350,Not Applicable
CIITA,4261,IRF2,3660,Unknown,15950283,Not Applicable
CLOCK,9575,CRY2,1408,+,22750052,Not Applicable
CLOCK,9575,CRY2,1408,Unknown,17660446,Not Applicable
CLOCK,9575,NAMPT,10135,+,19299583,Not Applicable
CREB1,1385,FOS,2353,Unknown,12432566,Not Applicable
CREB1,1385,NR2F6,2063,-,15955695,Not Applicable
CREB1,1385,POLD2,5425,Unknown,10978529,Not Applicable
CREB1,1385,RRM2B,50484,Unknown,11978967,Not Applicable
CREB5,9586,TGFBR3,7049,+,21132541,Not Applicable
CREBBP,1387,PCK2,5106,Unknown,10085123;11997389,Not Applicable
CREBBP,1387,PPARA,5465,Unknown,10542237,Not Applicable
CREM,1390,FOS,2353,-,21757709,Not Applicable
CRTC1,23373,PPARGC1A,10891,+,10893434,Not Applicable
CTCF,10664,BBC3,27113,Unknown,20818159,Not Applicable
CTCF,10664,DMPK,1760,Unknown,11479593,Not Applicable
CTCF,10664,IPO13,9670,Unknown,23620300,Not Applicable
CTCF,10664,PTPRG,5793,Unknown,21150880,Not Applicable
CTCFL,140690,BAG1,573,+,18413740,Not Applicable
CTNNB1,1499,CD44,960,Unknown,17724465,Not Applicable
CTNNB1,1499,PLD1,5337,+,20442281,Not Applicable
CTNNB1,1499,STARD7,56910,+,21622533,Not Applicable
DACH1,1602,FOS,2353,-,17182846,Not Applicable
DDB2,1643,XPA,7507,Unknown,24953096,Not Applicable
DDIT3,1649,ATG5,9474,+,20038797,Not Applicable
DDIT3,1649,TRIB3,57761,+,15775988;18940792,Not Applicable
DLX5,1749,IRS2,8660,+,21045156,Not Applicable
DNMT1,1786,BAG1,573,Unknown,18413740,Not Applicable
DNMT1,1786,MGMT,4255,Unknown,18555750,Not Applicable
DNMT1,1786,PROM1,8842,Unknown,20196115,Not Applicable
DNMT1,1786,RASSF1,11186,Unknown,24247422,Not Applicable
