ID,Target
hsa-let-7a-5p,PARP1
hsa-let-7a-5p,ATP6V1B2
hsa-let-7a-5p,BCL2
hsa-let-7a-5p,E2F1
hsa-let-7a-5p,NR6A1
hsa-let-7a-5p,GTF3C1
hsa-let-7a-5p,IGF1R
hsa-let-7a-5p,ITGB3
hsa-let-7a-5p,KRAS
hsa-let-7a-5p,NPC1
hsa-let-7a-5p,PLOD1
hsa-let-7a-5p,PRIM2
hsa-let-7a-5p,MAPK6
hsa-let-7a-5p,RFC2
hsa-let-7a-5p,RRM1
hsa-let-7a-5p,SP1
hsa-let-7a-5p,SPTBN1
hsa-let-7a-5p,TAF5
hsa-let-7a-5p,VAV2
hsa-let-7a-5p,VCL
hsa-let-7a-5p,ZNF28
hsa-let-7a-5p,ZNF200
hsa-let-7a-5p,CDC7
hsa-let-7a-5p,DEGS1
hsa-let-7a-5p,RIOK3
hsa-let-7a-5p,AURKB
hsa-let-7a-5p,WDR46
hsa-let-7a-5p,BZW1
hsa-let-7a-5p,UBE3C
hsa-let-7a-5p,KIAA0391
hsa-let-7a-5p,NUP58
hsa-let-7a-5p,TSC22D2
hsa-let-7a-5p,HNRNPDL
hsa-let-7a-5p,RBM6
hsa-let-7a-5p,PCGF3
hsa-let-7a-5p,TGOLN2
hsa-let-7a-5p,PGRMC1
hsa-let-7a-5p,TCERG1
hsa-let-7a-5p,CNTRL
hsa-let-7a-5p,CAND2
hsa-let-7a-5p,INTS7
hsa-let-7a-5p,FBXW2
hsa-let-7a-5p,PALD1
hsa-let-7a-5p,AGO2
hsa-let-7a-5p,DISC1
hsa-let-7a-5p,NKIRAS2
hsa-let-7a-5p,BCOR
hsa-let-7a-5p,CDKAL1
hsa-let-7a-5p,BSDC1
hsa-let-7a-5p,RAVER2
hsa-let-7a-5p,SLC38A7
hsa-let-7a-5p,CDV3
hsa-let-7a-5p,G2E3
hsa-let-7a-5p,UBAP2
hsa-let-7a-5p,MRS2
hsa-let-7a-5p,MTUS1
hsa-let-7a-5p,ABHD17C
hsa-let-7a-5p,NSD1
hsa-let-7a-5p,MARCKSL1
hsa-let-7a-5p,PHACTR4
hsa-let-7a-5p,ATG9A
hsa-let-7a-5p,CD276
hsa-let-7a-5p,LIMD2
hsa-let-7a-5p,PHF6
hsa-let-7a-5p,SYVN1
hsa-let-7a-5p,FUT10
hsa-let-7a-5p,REPS1
hsa-let-7a-5p,ZCCHC3
hsa-let-7a-5p,UNK
hsa-let-7a-5p,ANGEL2
hsa-let-7a-5p,ZC3HAV1L
hsa-let-7a-5p,SDR42E1
hsa-let-7a-5p,DIS3L2
hsa-let-7a-5p,GPAT4
hsa-let-7a-5p,CEP120
hsa-let-7a-5p,ZNF746
hsa-let-7a-5p,AGO4
hsa-let-7a-5p,PDE12
hsa-let-7a-5p,FAM171A2
hsa-let-7a-5p,ZNF260
hsa-let-7b-5p,ABCF1
hsa-let-7b-5p,ACTG1
hsa-let-7b-5p,ACTN4
hsa-let-7b-5p,ACVR1
hsa-let-7b-5p,AKT2
hsa-let-7b-5p,ATP6V0A1
hsa-let-7b-5p,BMP7
hsa-let-7b-5p,CBFB
hsa-let-7b-5p,CCNA2
hsa-let-7b-5p,COL3A1
hsa-let-7b-5p,CRKL
hsa-let-7b-5p,CTBP2
hsa-let-7b-5p,DCTD
hsa-let-7b-5p,DSP
hsa-let-7b-5p,FEN1
hsa-let-7b-5p,FLII
hsa-let-7b-5p,NR6A1
hsa-let-7b-5p,GLB1
hsa-let-7b-5p,GSPT1
hsa-let-7b-5p,GTF3C1
hsa-let-7b-5p,HIF1A
hsa-let-7b-5p,HNRNPF
hsa-let-7b-5p,HNRNPL
hsa-let-7b-5p,IGF1R
hsa-let-7b-5p,IGHMBP2
hsa-let-7b-5p,INPPL1
hsa-let-7b-5p,KCNC4
hsa-let-7b-5p,LDLR
hsa-let-7b-5p,MCM7
hsa-let-7b-5p,MTRR
hsa-let-7b-5p,NFATC3
hsa-let-7b-5p,PDGFRA
hsa-let-7b-5p,PHKA1
hsa-let-7b-5p,PRIM1
hsa-let-7b-5p,PRIM2
hsa-let-7b-5p,MAPK6
hsa-let-7b-5p,QARS
hsa-let-7b-5p,DPF2
hsa-let-7b-5p,RFC2
hsa-let-7b-5p,RRM1
hsa-let-7b-5p,SAFB
hsa-let-7b-5p,SMARCA4
hsa-let-7b-5p,SP1
hsa-let-7b-5p,STIM1
hsa-let-7b-5p,TCOF1
hsa-let-7b-5p,TJP1
hsa-let-7b-5p,TPP2
hsa-let-7b-5p,UBA1
hsa-let-7b-5p,VCL
hsa-let-7b-5p,ZNF28
hsa-let-7b-5p,ZNF200
hsa-let-7b-5p,PRRC2A
hsa-let-7b-5p,CUL1
hsa-let-7b-5p,RNMT
hsa-let-7b-5p,RIOK3
hsa-let-7b-5p,PAPSS1
hsa-let-7b-5p,HGS
hsa-let-7b-5p,DEDD
hsa-let-7b-5p,AURKB
hsa-let-7b-5p,MED14
hsa-let-7b-5p,GTF3C4
hsa-let-7b-5p,FADS2
hsa-let-7b-5p,SOX13
hsa-let-7b-5p,SH3PXD2A
hsa-let-7b-5p,CLINT1
hsa-let-7b-5p,BZW1
hsa-let-7b-5p,KIAA0391
hsa-let-7b-5p,TSC22D2
hsa-let-7b-5p,HNRNPDL
hsa-let-7b-5p,SIGMAR1
hsa-let-7b-5p,PCGF3
hsa-let-7b-5p,TUBGCP3
hsa-let-7b-5p,DDX17
hsa-let-7b-5p,TGOLN2
hsa-let-7b-5p,PGRMC1
hsa-let-7b-5p,WDR3
hsa-let-7b-5p,POP1
hsa-let-7b-5p,ABCB8
hsa-let-7b-5p,SCAF8
hsa-let-7b-5p,CNOT1
hsa-let-7b-5p,ERC1
hsa-let-7b-5p,EPB41L3
hsa-let-7b-5p,MKRN2
hsa-let-7b-5p,CIZ1
hsa-let-7b-5p,INTS7
hsa-let-7b-5p,SZRD1
hsa-let-7b-5p,INTS1
