ID,Target
hsa-let-7a-5p,ADH5
hsa-let-7a-5p,ADSL
hsa-let-7a-5p,ARG2
hsa-let-7a-5p,PRDM1
hsa-let-7a-5p,BNIP3L
hsa-let-7a-5p,CAMK2D
hsa-let-7a-5p,CCNG1
hsa-let-7a-5p,CDC34
hsa-let-7a-5p,AP1S1
hsa-let-7a-5p,COL8A1
hsa-let-7a-5p,CRY2
hsa-let-7a-5p,DSC3
hsa-let-7a-5p,BPTF
hsa-let-7a-5p,FMO4
hsa-let-7a-5p,FXN
hsa-let-7a-5p,GLO1
hsa-let-7a-5p,H1F0
hsa-let-7a-5p,HRAS
hsa-let-7a-5p,HSF2
hsa-let-7a-5p,LTA4H
hsa-let-7a-5p,MAP3K1
hsa-let-7a-5p,NAP1L1
hsa-let-7a-5p,NDUFS2
hsa-let-7a-5p,NFKB1
hsa-let-7a-5p,PEX14
hsa-let-7a-5p,PLCG2
hsa-let-7a-5p,QDPR
hsa-let-7a-5p,RAB13
hsa-let-7a-5p,RPS3A
hsa-let-7a-5p,RPS4X
hsa-let-7a-5p,RPS10
hsa-let-7a-5p,STRN
hsa-let-7a-5p,TGFBR3
hsa-let-7a-5p,CNBP
hsa-let-7a-5p,HIST2H2BE
hsa-let-7a-5p,DDX18
hsa-let-7a-5p,ATG12
hsa-let-7a-5p,ITM2B
hsa-let-7a-5p,MAP4K4
hsa-let-7a-5p,HDAC5
hsa-let-7a-5p,NUDT4
hsa-let-7a-5p,GPN1
hsa-let-7a-5p,TUSC2
hsa-let-7a-5p,PIGN
hsa-let-7a-5p,CARHSP1
hsa-let-7a-5p,ACOT9
hsa-let-7a-5p,NIPBL
hsa-let-7a-5p,ANKRD17
hsa-let-7a-5p,CHTOP
hsa-let-7a-5p,POLL
hsa-let-7a-5p,TMED7
hsa-let-7a-5p,PLEKHO1
hsa-let-7a-5p,THEM6
hsa-let-7a-5p,TAF9B
hsa-let-7a-5p,BTBD1
hsa-let-7a-5p,ARL8B
hsa-let-7a-5p,YOD1
hsa-let-7a-5p,KIF27
hsa-let-7a-5p,INTS12
hsa-let-7a-5p,PHTF2
hsa-let-7a-5p,KIAA1143
hsa-let-7a-5p,KIAA1328
hsa-let-7a-5p,PCIF1
hsa-let-7a-5p,AIDA
hsa-let-7a-5p,EFHD2
hsa-let-7a-5p,TTC26
