ID,Target
ABL1,FOXO3
AES,RND3
AHR,ABCG2
AHR,CCNG2
AHR,FOS
AIP,RSF1
ANKRD1,NPPA
APC,AMHR2
APC,KLF4
APC,NOS2
APEX1,NFKB1
AR,ARG2
AR,NDRG1
AR,NFKB1
AR,REST
AR,SRD5A3
AR,XIAP
ARNT,FOS
ARNTL,CRY2
ARNTL,CRY2
ATF1,TOP2A
ATF2,DUSP10
ATF2,MAP3K1
ATF2,PCK2
ATF4,APOE
ATF4,ATG5
ATF4,NUPR1
ATF4,TRIB3
ATF4,TRIB3
ATF6,DNAJC3
ATF6,STARD4
ATF6,XBP1
BACH2,XBP1
BCL3,NFKB1
BCL3,NFKB1
BCL6,BCL2L1
BCL6,NFKB1
BCL6,PDCD2
BCL6,PDCD2
BCL6,XBP1
BRCA1,FOS
BRCA1,MDM2
BRIP1,BARD1
BTF3,NFKB1
BTG2,HRAS
CDC5L,PLRG1
CDX1,IRF2BP2
CDX2,GSTP1
CDX2,KLF4
CDX2,KLF4
CEBPA,ICAM1
CEBPA,PCK2
CEBPA,SPI1
CEBPB,BCL2L1
CEBPB,GADD45G
CEBPB,GFER
CEBPB,GFER
CEBPB,PCK2
CEBPB,PRDM1
CEBPB,XBP1
CEBPD,GADD45G
CEBPE,SPI1
CIITA,HLA-A
CIITA,IRF2
CLOCK,CRY2
CLOCK,CRY2
CLOCK,NAMPT
CREB1,FOS
CREB1,NR2F6
CREB1,POLD2
CREB1,RRM2B
CREB5,TGFBR3
CREBBP,PCK2
CREBBP,PPARA
CREM,FOS
CRTC1,PPARGC1A
CTCF,BBC3
CTCF,DMPK
CTCF,IPO13
CTCF,PTPRG
CTCFL,BAG1
CTNNB1,CD44
CTNNB1,PLD1
CTNNB1,STARD7
DACH1,FOS
DDB2,XPA
DDIT3,ATG5
DDIT3,TRIB3
DLX5,IRS2
DNMT1,BAG1
DNMT1,MGMT
DNMT1,PROM1
DNMT1,RASSF1
DNMT3A,JUP
E2F1,ATG5
E2F1,BBC3
E2F1,DAPK2
E2F1,DIRAS3
E2F1,ERCC1
E2F1,FZD1
E2F1,FZD1
E2F1,HIC1
E2F1,IRF3
E2F1,MAP1LC3A
E2F1,MDM2
E2F1,SIVA1
E2F1,SIVA1
E2F1,TOP2A
E2F1,ZNF350
E2F4,DIRAS3
EGR1,NFKB1
EGR1,TNFSF10
EIF2AK2,IRS2
ELF4,MDM2
ELK1,DAP3
ELK1,FOS
ELK1,ZFP36
ELK4,FOS
ELK4,FOS
ELL,MDM2
EP300,GFAP
EP300,LAMA3
EP300,MDM2
EP300,MGMT
EP300,NFKB1
EP300,YY1
ERCC2,XPA
ERG,ICAM1
ERG,SOX4
ERG,VWF
ERG,VWF
ESR1,ABCG2
ESR1,FOS
ESR1,FOXP1
ESR1,MDM2
ESR2,FOS
ESRRA,DAP3
ESRRA,NR2F6
ETS1,ANGPT2
ETS1,F13A1
ETS1,MDM2
ETS1,NDRG1
ETS1,SQSTM1
ETS1,VWF
ETS2,ANGPT2
ETS2,ICAM1
ETS2,MDM2
ETS2,VWF
ETV3,NFKB1
ETV5,ICAM1
ETV6,BBC3
EZH2,ADRB2
FHL2,NFKB1
FLI1,ITGA2B
FOS,BCL2L1
FOS,CLU
FOS,CREM
FOS,FMO4
FOS,FOS
