"chr","start","end","gene","peakWidth"
"chr9",129887964,129888464,"FNBP1",500
"chr3",15449217,15449717,"COLQ",500
"chr5",76716111,76716611,"F2R",500
"chr15",88621834,88622334,"AEN",500
"chr19",16113669,16114169,"RAB8A",500
"chr11",69641491,69641991,"CCND1",500
"chr16",68638745,68639245,"CDH3",500
"chr5",34656517,34657017,"RAI14",500
"chr1",21596441,21596941,"RAP1GAP",500
"chr1",149928051,149928551,"MTMR11",500
"chr8",27633301,27633801,"SCARA3",500
"chr6",1611914,1612414,"FOXC1",500
"chr9",136796924,136797424,"CCDC183",500
"chr10",121476957,121477457,"FGFR2",500
"chr12",44505454,44505954,"NELL2",500
"chr10",89427376,89427876,"SLC16A12",500
"chr9",78297239,78297739,"PSAT1",500
"chr1",206506509,206507009,"RASSF5",500
"chr7",150992328,150992828,"NOS3",500
"chr10",123705512,123706012,"CPXM2",500
"chr1",28508317,28508817,"RCC1",500
"chr9",71684163,71684663,"CEMIP2",500
"chr16",87827689,87828189,"SLC7A5",500
"chr15",41556449,41556949,"TYRO3",500
"chr18",44680600,44681100,"SETBP1",500
"chr2",11484331,11484831,"GREB1",500
"chr9",114334178,114334678,"AKNA",500
"chr7",2633343,2633843,"TTYH3",500
"chr1",160117205,160117705,"ATP1A2",500
"chr9",136798210,136798710,"CCDC183",500
"chr19",19388521,19389021,"GATAD2A",500
"chr6",85452308,85452808,"NT5E",500
"chr1",156721184,156721684,"ISG20L2",500
"chr3",48156247,48156747,"CDC25A",500
"chr11",125166961,125167461,"PKNOX2",500
"chr6",47231910,47232410,"TNFRSF21",500
"chr11",125625110,125625610,"CHEK1",500
"chr8",27633265,27633765,"SCARA3",500
"chr9",136491565,136492065,"NOTCH1",500
"chr20",2791786,2792286,"CPXM1",500
"chr5",76716120,76716620,"F2R",500
"chr7",41960067,41960567,"GLI3",500
"chr6",43078669,43079169,"PTK7",500
"chr5",122313173,122313673,"SNCAIP",500
"chr14",69857089,69857589,"SMOC1",500
"chr1",156719255,156719755,"ISG20L2",500
"chr3",152833917,152834417,"P2RY1",500
"chr19",8066286,8066786,"FBN3",500
"chr19",16113400,16113900,"RAB8A",500
"chr18",10453173,10453673,"APCDD1",500
"chr15",75462530,75463030,"PTPN9",500
"chr11",125165316,125165816,"PKNOX2",500
"chr7",69597393,69597893,"AUTS2",500
"chr3",13316534,13317034,"NUP210",500
"chr21",45491081,45491581,"SLC19A1",500
"chr2",215361458,215361958,"FN1",500
"chr17",73332915,73333415,"SDK2",500
"chr10",100348112,100348612,"SCD",500
"chr9",97030847,97031347,"CTSV",500
"chr5",76614277,76614777,"F2RL2",500
"chr18",72536269,72536769,"CBLN2",500
"chr5",168293759,168294259,"WWC1",500
"chr16",28260599,28261099,"SBK1",500
"chr7",69597451,69597951,"AUTS2",500
"chr1",154154487,154154987,"TPM3",500
"chr1",206473319,206473819,"IKBKE",500
"chr7",69600163,69600663,"AUTS2",500
"chr17",44925629,44926129,"KIF18B",500
"chr20",6767647,6768147,"BMP2",500
"chr11",125167243,125167743,"PKNOX2",500
"chr1",156721090,156721590,"ISG20L2",500
"chr6",43077734,43078234,"PTK7",500
"chr6",142301892,142302392,"ADGRG6",500
"chr13",26560171,26560671,"WASF3",500
"chr22",21418222,21418722,"HIC2",500
"chr17",4585757,4586257,"SMTNL2",500
"chr17",50109541,50110041,"SAMD14",500
"chr3",109324882,109325382,"DPPA4",500
"chr8",103151933,103152433,"BAALC-AS1",500
"chr7",75530734,75531234,"HIP1",500
"chr19",8066696,8067196,"FBN3",500
"chr6",1609133,1609633,"FOXC1",500
"chr6",25280438,25280938,"CARMIL1",500
"chr17",62968597,62969097,"TANC2",500
"chr2",11483460,11483960,"GREB1",500
"chr15",41556380,41556880,"TYRO3",500
"chr3",152837343,152837843,"P2RY1",500
"chr3",152836107,152836607,"P2RY1",500
"chr20",62463998,62464498,"GATA5",500
"chr1",53242448,53242948,"LRP8",500
"chr6",89093326,89093826,"SRSF12",500
"chr9",136795386,136795886,"CCDC183",500
"chr20",32191453,32191953,"PLAGL2",500
"chr3",184562544,184563044,"EPHB3",500
"chr22",27852595,27853095,"PITPNB",500
"chr17",41814413,41814913,"FKBP10",500
"chr16",46690780,46691280,"ORC6",500
"chr19",39412384,39412884,"PLEKHG2",500
"chr1",206508445,206508945,"RASSF5",500
"chr4",108046779,108047279,"LEF1",500
"chr1",156719788,156720288,"ISG20L2",500
"chr19",29810892,29811392,"CCNE1",500
"chr2",11485017,11485517,"GREB1",500
"chr1",89179952,89180452,"GBP4",500
"chr5",122313585,122314085,"SNCAIP",500
"chr14",76762509,76763009,"VASH1",500
"chr3",196935309,196935809,"NCBP2",500
"chr15",101174969,101175469,"CHSY1",500
"chr15",89578220,89578720,"TICRR",500
