"chr","start","end"
"chr12",65823882,65824382
"chr17",8471882,8472382
"chr5",147388553,147389053
"chr10",5414113,5414613
"chr18",314238,314738
"chr11",125625110,125625610
"chr10",5415034,5415534
"chr2",25226108,25226608
"chr10",119727741,119728241
"chr15",65531343,65531843
"chr16",28257757,28258257
"chr10",100346397,100346897
"chr3",101829406,101829906
"chr10",13162934,13163434
"chr3",10028881,10029381
"chr1",154153975,154154475
"chr9",113221159,113221659
"chr1",168079740,168080240
"chr10",106571113,106571613
"chr3",186046381,186046881
"chr17",73333159,73333659
"chr1",157991949,157992449
"chr19",16113236,16113736
"chr7",150992328,150992828
"chr7",105439414,105439914
"chr2",11484331,11484831
"chr5",122314333,122314833
"chr10",121476799,121477299
"chr9",36036858,36037358
"chr4",108048983,108049483
"chr21",43658326,43658826
"chr9",136491565,136492065
"chr15",88621343,88621843
"chr6",89097031,89097531
"chr20",62464035,62464535
"chr21",45494718,45495218
"chr1",201484929,201485429
"chr1",29237024,29237524
"chr5",168659278,168659778
"chr6",47231718,47232218
"chr4",108047745,108048245
"chr7",101364178,101364678
"chr17",4585834,4586334
"chr3",109324882,109325382
"chr14",76762299,76762799
"chr5",32687714,32688214
"chr5",168293832,168294332
"chr17",55718592,55719092
"chr22",21419655,21420155
"chr12",44505454,44505954
"chr2",11483019,11483519
"chr15",88621762,88622262
"chr11",125164982,125165482
"chr18",10455477,10455977
"chr1",28507641,28508141
"chr18",44682654,44683154
"chr16",64941784,64942284
"chr9",71684163,71684663
"chr17",50108868,50109368
"chr6",82365053,82365553
"chr9",36037199,36037699
"chr1",46247978,46248478
"chr7",33904719,33905219
"chr12",44505395,44505895
"chr1",47214159,47214659
"chr12",44509328,44509828
"chr12",47973934,47974434
"chr5",168660534,168661034
"chr19",39413838,39414338
"chr11",119097350,119097850
"chr17",79780360,79780860
"chr5",76613499,76613999
"chr21",45403876,45404376
"chr1",89182301,89182801
"chr4",108047517,108048017
"chr15",65530039,65530539
"chr13",38689291,38689791
"chr4",108046932,108047432
"chr11",61752126,61752626
"chr1",89179293,89179793
"chr17",42827268,42827768
"chr3",13317320,13317820
"chr1",52683411,52683911
"chr4",108048404,108048904
"chr21",45407078,45407578
"chr20",2792657,2793157
"chr4",108046779,108047279
"chr22",21418550,21419050
"chr13",26560004,26560504
"chr6",142301892,142302392
"chr21",43661808,43662308
"chr2",25226235,25226735
"chr6",1610039,1610539
"chr12",74540087,74540587
"chr1",167721811,167722311
"chr5",76615186,76615686
"chr5",34658047,34658547
"chr3",13316534,13317034
"chr2",1632106,1632606
"chr2",68861142,68861642
"chr1",74235144,74235644
"chr15",43868653,43869153
"chr6",118548831,118549331
"chr1",153535870,153536370
"chr1",17018918,17019418
"chr10",22318720,22319220
"chr11",19182029,19182529
"chr8",143553657,143554157
"chr2",63589753,63590253
"chr1",38838367,38838867
"chr12",26123825,26124325
"chr2",69393378,69393878
"chr19",2713608,2714108
"chr22",43153113,43153613
"chr7",120787396,120787896
"chr3",120597598,120598098
"chr22",43151536,43152036
"chr16",31426512,31427012
"chrX",79359305,79359805
"chr6",112090436,112090936
"chr7",80372283,80372783
"chr12",117038711,117039211
"chr4",140389579,140390079
"chr3",149318061,149318561
"chr2",18552760,18553260
"chr16",1939617,1940117
"chr15",42413944,42414444
"chr6",117908687,117909187
"chr7",30911505,30912005
"chr8",141392574,141393074
"chr1",209676048,209676548
"chr6",118550203,118550703
"chr6",117910181,117910681
"chr11",19180873,19181373
"chr11",33702837,33703337
"chr7",44142169,44142669
"chr20",604202,604702
"chr1",56646588,56647088
"chr1",56646649,56647149
"chr18",34495331,34495831
"chr1",165630195,165630695
"chr11",126355663,126356163
"chr11",111909793,111910293
"chr7",33112548,33113048
"chr20",25006202,25006702
"chr4",140388271,140388771
"chr1",74237088,74237588
"chr9",15162321,15162821
"chrX",154673390,154673890
"chr11",111907798,111908298
"chr15",88898164,88898664
"chr2",119369322,119369822
"chr3",42694091,42694591
"chr14",102499842,102500342
"chr15",57593728,57594228
"chr7",80372068,80372568
"chr1",100145590,100146090
"chr9",15161561,15162061
"chr18",61808449,61808949
"chr15",44712060,44712560
"chr5",143279213,143279713
"chr15",44712613,44713113
"chr11",118160568,118161068
"chr22",19520295,19520795
"chr3",173396711,173397211
"chr5",95749421,95749921
"chr3",53884921,53885421
"chr10",13276027,13276527
"chr14",55124895,55125395
"chr7",116526727,116527227
"chr14",104579624,104580124
"chr9",68705139,68705639
"chr15",44713009,44713509
"chr1",54026218,54026718
"chr9",12775546,12776046
"chr3",53884171,53884671
"chr22",41229373,41229873
"chr5",95752752,95753252
"chr3",42690448,42690948
"chr3",156038540,156039040
"chr2",20030406,20030906
"chr2",126656975,126657475
"chr7",31750499,31750999
"chr3",50613036,50613536
"chr11",112089264,112089764
"chr2",63591018,63591518
"chr2",63589266,63589766
"chr1",150257093,150257593
"chr1",17017569,17018069
"chr22",41226708,41227208
"chr2",181955816,181956316
"chr7",23236431,23236931
"chr6",81492288,81492788
"chr7",30913435,30913935
"chr8",142768879,142769379
"chr9",131288611,131289111
"chr1",74237996,74238496
"chr7",44142584,44143084
"chr13",23181704,23182204
"chrX",77902351,77902851
"chr19",8323655,8324155
"chr3",50610119,50610619
"chr1",209675648,209676148
"chr7",113114181,113114681
"chr7",33111477,33111977
"chr1",26050010,26050510
"chr16",57448506,57449006
"chr2",30346157,30346657
"chr6",5083870,5084370
"chr2",181955702,181956202
"chr12",91101831,91102331
"chr2",230415306,230415806
"chr6",99368014,99368514
"chr8",142770142,142770642
"chr7",23235919,23236419
"chr7",33110396,33110896
"chr2",46541993,46542493
"chr1",167917356,167917856
"chr7",44142673,44143173
"chr4",173529959,173530459
"chr7",31748283,31748783
"chr1",9998044,9998544
"chr17",44958345,44958845
"chr2",126657483,126657983
