sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_12	sample_13	sample_14	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40
NR_033184	4	0	1	1	0	1	3	1	2	2	1	3	4	1	5	1	2	1	1	1	0	4	2	3	2	0	1	2	1	3	1	2	1	2	4	3	0
NR_033186	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NM_024068	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	3	0	1	0	0	0	0	1	0	1	0	2	0	1	0	0
ENST00000279263.7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0
ENST00000409246.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_000099	1	0	1	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	4	1	0	2	0	0	0	0	0	2	1	1	1	2	2	0
NM_012088	0	2	1	0	1	1	1	0	0	1	1	0	1	1	3	2	1	3	0	0	1	1	0	1	2	0	0	0	0	0	0	1	1	0	8	3	0
NM_012086	0	4	2	2	4	1	4	0	2	1	0	2	4	3	3	2	5	2	1	2	2	4	2	4	2	1	3	2	2	3	3	5	5	5	6	4	1
ENST00000333926.5	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
NM_012081	1	1	1	2	2	1	4	1	2	0	1	1	3	1	1	2	3	1	1	0	1	2	1	2	2	4	1	2	0	1	1	1	1	0	4	1	1
TCONS_00004627	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	1	0	0	1	1	2
NM_012082	1	2	44	2	4	1	6	4	2	3	19	4	1	2	2	2	7	14	3	1	3	2	2	2	2	4	2	1	3	1	2	4	15	4	6	5	21
ENST00000325212.6	579	2	3	706	895	683	1	1	1	1	592	1	1	1	1	2	1	1	2	4	1	4	1	1	1	997	1178	714	943	1	1	1	5	1	1	786	404
ENST00000507386.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_012079	2	3	6	2	4	2	4	2	4	0	1	2	3	3	1	1	4	2	0	2	4	7	1	1	2	1	1	0	2	2	2	2	5	6	11	5	4
NM_024076	3	1	2	1	2	1	1	1	2	1	0	3	6	1	1	2	1	2	2	2	1	2	6	1	1	1	1	1	1	2	7	1	7	3	4	3	0
ENST00000439374.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_024078	0	0	0	2	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	2	1	0
NM_024077	1	1	2	1	1	0	2	1	4	2	4	3	1	1	1	1	1	2	1	2	8	1	3	2	2	4	1	3	3	7	2	1	2	3	1	1	1
ENST00000469525.1	1	5	3	4	4	5	4	6	3	0	5	1	5	5	0	5	1	9	9	18	4	4	10	3	3	2	4	4	4	11	7	7	6	5	1	4	3
NM_024074	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	8	0	1
NM_000089	6	2	3	7	8	4	1	6	3	3	1	6	7	5	6	9	2	6	3	2	3	15	7	11	5	1	8	3	3	7	18	5	24	3	16	11	2
NM_000088	82	76	199	98	91	57	89	125	64	83	53	56	92	153	184	117	179	122	168	69	192	243	123	101	260	45	64	57	124	238	166	98	198	174	615	321	67
ENST00000499786.4	0	3	4	1	0	0	0	2	2	0	0	1	0	0	2	3	1	0	1	1	0	2	2	0	0	1	2	1	1	0	2	0	0	0	4	1	1
NM_012074	1	0	2	2	0	1	0	0	1	1	2	1	3	0	1	1	0	2	1	0	0	1	2	1	1	1	3	0	2	0	2	1	1	1	3	2	0
NM_012072	2	4	3	13	6	6	8	1	4	2	7	2	4	2	2	10	2	6	0	2	1	15	3	8	3	2	4	1	1	1	8	2	21	2	2	5	1
NM_012073	1	3	3	7	4	1	3	0	2	5	0	2	4	3	1	3	1	3	1	2	1	11	1	1	7	0	5	1	1	2	5	2	6	4	8	5	1
NM_012071	0	2	4	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	2	0	3	0	1
NM_001018159	1	0	2	1	1	1	2	1	3	1	1	2	1	1	1	1	1	1	1	1	0	1	1	4	1	1	1	0	1	2	2	1	2	1	1	2	1
ENST00000456398.1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0
NM_000090	11	15	29	14	12	8	17	23	5	16	8	16	20	27	20	20	19	14	12	13	11	41	16	19	20	3	15	13	20	11	41	18	52	27	130	29	8
NM_001130912	1	1	2	1	1	1	2	1	2	1	0	1	1	3	3	1	1	1	1	1	1	4	1	1	4	1	1	2	1	0	1	2	1	2	2	1	0
ENST00000589222.1	1	0	2	1	1	2	2	2	2	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1	1	2	1	1	1	1	2	2	1	1	1	2	0
NM_024081	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NM_001130913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENST00000595396.1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_024080	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0
ENST00000564903.1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
ENST00000449862.2	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	2	2	1	0	0	1	0	2	0	1	0	0	0	1	2	1
ENST00000423485.1	1	2	4	10	1	2	1	3	2	3	4	1	1	2	1	6	2	9	2	1	1	8	2	1	3	1	2	0	5	2	1	5	4	6	6	5	1
NM_013398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0
NM_024086	1	1	2	1	1	1	1	2	1	4	2	1	2	3	2	2	3	2	2	1	3	2	1	2	3	0	0	2	1	2	2	1	1	1	9	1	0
NM_000097	1	1	6	1	4	1	3	0	4	2	0	1	4	2	2	4	1	4	5	4	1	12	3	1	2	1	1	1	2	3	1	4	3	5	11	8	0
NM_024089	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
ENST00000380682.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
NM_000094	1	1	1	2	1	1	1	2	1	1	1	1	1	2	0	3	1	1	2	1	2	2	0	1	1	1	2	1	1	1	2	3	2	1	4	1	1
NM_000093	2	2	2	2	1	1	2	1	4	2	2	2	1	2	2	1	1	1	2	1	1	7	1	3	1	1	1	1	1	1	3	1	1	2	4	2	4
NM_000092	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NM_000091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NM_024047	0	1	2	1	1	1	0	1	1	1	2	0	0	1	1	0	0	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1
NM_052998	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
NM_052997	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_024046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NM_052990	0	0	2	3	1	0	1	0	2	0	0	1	0	2	4	0	1	0	0	1	0	2	1	0	4	0	0	0	0	1	3	1	2	0	4	2	0
NM_001104631	0	0	1	2	1	0	0	1	1	1	0	1	2	3	0	0	0	0	0	0	0	6	1	1	1	0	0	0	1	1	2	1	2	0	1	2	0
TCONS_l2_00022101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENST00000361511.4	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
NM_024053	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	1	0	1	1	1	1	0	0	2	0	0	0	0	0	0	0	1	1	3	2	2	1
ENST00000341861.5	4	1	1	4	2	1	1	2	2	1	1	1	2	2	3	2	1	3	1	1	1	1	2	3	1	0	0	0	1	1	2	3	1	2	2	5	1
NM_024050	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ENST00000306177.5	1	1	1	3	1	1	1	1	5	0	1	0	2	2	1	1	1	1	2	0	1	1	0	2	2	0	0	2	1	1	1	2	1	2	2	1	0
NM_012090	3	6	7	4	3	1	1	1	3	3	2	3	3	2	4	5	2	2	1	4	2	9	4	6	10	2	1	1	1	3	6	3	1	4	14	5	3
ENST00000353339.3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0
NM_012091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENST00000563228.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
NM_052988	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1
NM_024057	0	2	1	1	2	1	1	2	1	2	1	1	1	2	1	1	2	2	0	1	1	1	1	1	0	1	1	1	1	3	3	1	1	1	1	2	1
NM_052985	0	1	1	1	1	0	1	1	1	0	0	1	1	2	1	2	2	1	1	1	0	4	1	2	1	1	0	1	0	1	4	1	1	0	1	1	0
ENST00000521492.1	0	0	0	1	0	1	0	0	0	1	2	0	0	1	0	0	0	0	1	1	1	2	2	0	0	0	0	1	0	0	1	0	1	1	0	0	1
ENST00000335953.4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_012099	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1
NM_012096	2	1	2	1	1	1	4	3	2	0	1	1	2	2	3	1	2	2	0	3	1	6	1	3	1	2	1	1	1	1	3	2	3	2	5	4	0
