"transcriptName","anno"
"NR_033184","circRNA"
"NR_033186","circRNA"
"NM_024068","circRNA"
"ENST00000279263.7","circRNA"
"ENST00000409246.1","circRNA"
"NM_000099","circRNA"
"NM_012088","circRNA"
"NM_012086","circRNA"
"ENST00000333926.5","circRNA"
"NM_012081","circRNA"
"TCONS_00004627","circRNA"
"NM_012082","circRNA"
"ENST00000325212.6","circRNA"
"ENST00000507386.1","circRNA"
"NM_012079","circRNA"
"NM_024076","circRNA"
"ENST00000439374.1","circRNA"
"NM_024078","circRNA"
"NM_024077","circRNA"
"ENST00000469525.1","circRNA"
"NM_024074","circRNA"
"NM_000089","circRNA"
"NM_000088","circRNA"
"ENST00000499786.4","circRNA"
"NM_012074","circRNA"
"NM_012072","circRNA"
"NM_012073","circRNA"
"NM_012071","circRNA"
"NM_001018159","circRNA"
"ENST00000456398.1","circRNA"
"NM_000090","circRNA"
"NM_001130912","circRNA"
"ENST00000589222.1","circRNA"
"NM_024081","circRNA"
"NM_001130913","circRNA"
"ENST00000595396.1","circRNA"
"NM_024080","circRNA"
"ENST00000564903.1","circRNA"
"ENST00000449862.2","circRNA"
"ENST00000423485.1","circRNA"
"NM_013398","circRNA"
"NM_024086","circRNA"
"NM_000097","circRNA"
"NM_024089","circRNA"
"ENST00000380682.1","circRNA"
"NM_000094","circRNA"
"NM_000093","circRNA"
"NM_000092","circRNA"
"NM_000091","circRNA"
"NM_024047","circRNA"
"NM_052998","circRNA"
"NM_052997","circRNA"
"NM_024046","circRNA"
"NM_052990","circRNA"
"NM_001104631","circRNA"
"TCONS_l2_00022101","circRNA"
"ENST00000361511.4","circRNA"
"NM_024053","circRNA"
"ENST00000341861.5","circRNA"
"NM_024050","circRNA"
"ENST00000306177.5","circRNA"
"NM_012090","circRNA"
"ENST00000353339.3","circRNA"
"NM_012091","circRNA"
"ENST00000563228.1","circRNA"
"NM_052988","circRNA"
"NM_024057","circRNA"
"NM_052985","circRNA"
"ENST00000521492.1","circRNA"
"ENST00000335953.4","circRNA"
"NM_012099","circRNA"
"NM_012096","circRNA"
"NM_012097","circRNA"
"ENST00000361897.5","circRNA"
"NM_012094","circRNA"
"NR_033191","circRNA"
"NM_001018139","circRNA"
"NM_012093","circRNA"
"NR_033193","circRNA"
"ENST00000331373.5","circRNA"
"NM_012089","circRNA"
"NM_001129908","circRNA"
"ENST00000334025.2","circRNA"
"NM_024067","circRNA"
"NM_024066","circRNA"
"NM_024060","circRNA"
"ENST00000308191.6","circRNA"
"TCONS_00017926","circRNA"
"NM_024029","circRNA"
"ENST00000509436.1","circRNA"
"NM_000059","circRNA"
"ENST00000358232.6","circRNA"
"NM_000057","circRNA"
"NM_000056","circRNA"
"NM_013375","circRNA"
"NM_001386","circRNA"
"NM_052972","circRNA"
"NM_013374","circRNA"
"NM_001388","circRNA"
"NM_013373","circRNA"
"NM_052970","circRNA"
"NM_001389","circRNA"
"ENST00000518129.1","circRNA"
"ENST00000308824.6","circRNA"
"NM_013369","circRNA"
"NM_013367","circRNA"
"NM_014698","circRNA"
"NM_013366","circRNA"
"NM_014697","circRNA"
"NM_001395","circRNA"
"NM_001396","circRNA"
"NM_014696","circRNA"
"NM_001007471","circRNA"
"NM_024032","circRNA"
"NM_024031","circRNA"
"NM_000064","circRNA"
"ENST00000310298.4","circRNA"
"NM_000062","circRNA"
"NM_000061","circRNA"
"NM_000060","circRNA"
"ENST00000040738.5","circRNA"
"ENST00000453730.2","circRNA"
"NM_052966","circRNA"
"ENST00000586606.2","circRNA"
"NM_001080125","circRNA"
"TCONS_l2_00011429","circRNA"
"NM_024036","circRNA"
"NM_000047","circRNA"
"NM_000046","circRNA"
"NM_052964","circRNA"
"NM_024038","circRNA"
